,pH,Ca,Mg,P,K,N,C,d15N,d13C,C/N,DistEqu,moisture,MAP,MAT,PET,Fire,NPP,SoilC_from_database
G2761a,3.69,2.0801,1.4729,0.9072,1.9921,0.1885,2.4948,4.2231,-29.6251,13.24,3.2167,2.1311,3.384,25.875,2.1405,2.0043,1.039,5.022
AV103,2.43,2.0766,1.4256,1.2147,1.9529,1.5841,29.21,3.39,-30.55,18.44,0.3919,2.0928,3.4804,26.5417,2.0605,2.0043,0.927,5.596
AV104,2.51,2.27,2.1358,1.7251,2.5075,0.7061,16.19,-0.45,-30.45,22.93,0.3466,2.0928,3.4794,26.5,2.0605,2.0043,0.927,5.596
AV105,2.65,2.1991,2.2401,1.8166,2.8859,1.7613,33.67,3.01,-30.28,19.12,3.598,2.1531,3.4026,25.7167,2.0397,2.0043,0.988,6.894
AV110,2.89,2.0753,1.5848,1.1345,2.3218,0.6776,11.44,2.14,-30.99,16.88,0.3806,2.0928,3.4803,26.4917,2.0605,2.0043,0.927,5.596
AV112,2.51,2.0879,1.8411,1.7403,2.6436,1.9929,39.19,2.23,-30.4,19.66,0.395,2.0928,3.4802,26.55,2.0605,2.0043,0.927,5.596
AV114,2.69,1.9748,1.5961,1.36,2.3644,1.2356,21.22,3.93,-29.97,17.17,0.55,2.1706,3.4833,26.0333,2.0996,2.0043,0.938,6.213
AV117,2.64,2.1413,1.8613,1.4946,2.224,0.6472,15.49,0.44,-29.92,23.93,4.0086,2.1434,3.4373,25.7833,2.0612,2.0043,0.98,7.461
AV120,2.74,94.591,36.797,21.679,178.353,0.925,17.207,4.615,-29.845,18.60,58.351,2.153,3.436,25.75,2.04,2,0.988,0.838
AV125,3.56,2.6926,2.2076,1.0976,2.3772,1.2649,25.39,-0.87,-27.65,20.07,4.867,2.1742,3.3367,10.8,1.6569,2.0043,1.26,9.252
AV127,2.8,2.223,1.9609,1.4359,2.4824,1.7198,37.48,-2.33,-27.08,21.79,6.705,2.1537,3.4089,13.9917,1.9256,2.0043,1.234,9.029
G2536,4.06,2.0753,1.93,1.1973,1.9841,0.4278,6.2464,-0.0067,-27.943,14.60,58.4624,1.9494,2.8,5.02,1.6508,2,0.535,0.89
G2538,2.97,2.8943,2.1408,1.8267,2.5564,0.918,28.27,-4.27,-27.8,30.80,58.1232,1.9539,2.8028,4.85,1.6509,2.0043,0.567,9.243
G2620,5.94,3.285,2.5005,1.0917,2.209,0.3575,6.44,-2.19,-27.76,18.01,58.2796,1.9707,2.8116,4.9583,1.6454,2.0043,0.535,9.636
G2629,3.94,3.3448,2.6451,1.8996,2.5803,1.4199,27.5,-0.93,-28.02,19.37,58.0458,1.9381,2.8331,5.35,1.6599,2.0043,0.535,7.112
G2640,4.89,3.1251,2.661,0.1712,2.313,0.4827,13.16,1.01,-27.54,27.26,34.3611,1.9269,2.9956,15,1.7903,1.3222,0.85,4.161
G2643,4.88,3.1812,2.6226,0.3859,2.0471,0.9082,23.06,-0.32,-28.01,25.39,34.9522,1.919,3.0997,15.3417,1.7922,1.4914,0.85,6.236
G2645,4.73,2.0879,2.41,0.255,1.892,0.3291,7.1336,0.4697,-29.1726,21.68,35.0023,1.919,3.12,15.61,1.7922,0.9542,0.85,0.79
G2648,4.49,2.9338,2.5292,0.7653,2.0764,0.5635,12.39,0.57,-26.83,21.99,34.9582,1.9002,3.0166,15.75,1.8071,1.6128,0.815,8.659
G2649,5.56,3.0368,2.4322,0.446,2.2014,0.3779,12.81,-0.6,-27.92,33.90,33.545,1.7257,2.6902,15.6333,1.8024,1.2041,0.495,5.748
G2650,6.1,3.0441,2.5918,0.2812,2.4272,0.3626,8.49,0.08,-26.55,23.41,33.18,1.709,2.6893,15.625,1.8105,1.2788,0.495,5.458
G2653,4.06,2.5982,2.2162,0.6025,2.0769,1.3358,26.67,-0.59,-30.13,19.97,9.4347,1.9919,3.3598,22.7083,2.1004,1.7076,1.046,7.498
G2655,4.51,2.4567,2.3179,0.3117,2.2543,0.7003,13.91,1.45,-29.51,19.86,9.4448,1.9919,3.3336,23.5667,2.1004,2.0043,1.046,7.498
G2657,4.46,2.27,2.0698,0.3465,2.2914,0.5968,11.48,1.05,-29.65,19.24,9.4448,1.9919,3.3336,23.5667,2.1004,2.0043,1.046,7.498
G2658,5.32,2.9612,2.4577,-0.1118,2.0571,0.3508,6.06,1.95,-25.09,17.27,9.435,1.9919,3.3646,23.25,2.1004,0.301,1.046,7.498
G2659,6.11,3.5966,2.9674,1.3842,2.6602,0.9235,11.85,3.36,-28.11,12.83,9.4176,1.9919,3.3079,25.0667,2.1004,2.0043,1.046,7.498
G2660,6.67,3.4682,2.8593,1.7028,2.6273,0.4034,6.6528,3.4216,-20.8976,16.49,9.4218,1.9919,3.2999,24.9167,2.1004,0.301,1.046,7.498
G2661,6.18,3.6554,2.8565,1.6852,2.5805,0.6999,8.85,4.3,-29.45,12.64,6.639,2.1459,3.3779,25.1667,2.0015,1.8513,1.164,7.458
G2664,4.57,3.4082,2.6534,1.154,2.295,1.0228,23.21,-0.79,-29.9,22.69,7.3058,2.1579,3.4864,26.5583,1.8184,2.0043,1.245,8.664
G2669,4.8,3.3476,2.5895,0.1878,2.0687,0.5728,13.56,-0.76,-30.13,23.67,7.3036,2.1579,3.4886,26.625,1.8184,2.0043,1.245,8.664
G2677,4.73,3.457,2.7811,0.9171,2.6478,1.7332,35.05,-1.38,-29.43,20.22,6.0173,2.1629,3.2688,16.1667,1.884,2.0043,1.264,8.004
G2679,3.95,2.6564,2.3623,1.098,2.6259,1.5453,27.43,-0.47,-29.21,17.75,6.016,2.1629,3.2739,15.5417,1.884,2.0043,1.264,8.004
G2700,4.46,2.6597,2.0126,0.6383,2.6354,1.2468,20.39,-1.06,-26.62,16.35,5.7904,2.1651,3.4123,8.7833,2.0154,2.0043,1.127,8.758
G2728,2.9,1.9748,2.13,1.5763,2.5968,0.0967,2.7166,-2.6388,-28.2315,28.09,5.8212,2.1651,3.32,13.28,2.0154,2,1.127,0.94
G2733,4.08,3.4586,3.1501,1.6987,2.6079,0.8944,21.46,-0.49,-27.48,23.99,5.9305,2.1651,3.321,17.1833,2.0154,2.0043,1.127,8.758
G2736,3.75,2.5048,2.1947,0.6488,2.4122,0.6544,11.92,2.16,-28.67,18.22,6.3755,2.1629,3.3636,16.7583,1.884,2.0043,1.264,8.004
G2742,3.73,2.9349,2.6727,1.4482,2.5274,1.0609,23.03,0.97,-28.73,21.71,6.1933,2.1629,3.2951,17.6167,1.884,2.0043,1.264,8.004
G2745X,6.38,3.3706,2.237,0.7162,1.7753,0.5161,8.3307,2.9601,-28.1428,16.14,58.3267,1.9206,2.7796,6.0333,1.6566,2.0043,0.573,9.258
G2745,4.78,2.1413,2.03,0.1256,1.2745,0.1011,2.7341,1.8353,-26.5256,27.04,12.7188,1.6801,3.07,27.47,2.1408,0,0.345,0.74
G2747,4.12,2.0447,1.5264,0.4043,1.6055,0.1367,2.27,1.86,-25.42,16.61,12.7622,1.6787,3.0927,27.9667,2.1488,0.301,0.365,5.549
G2751,4.57,2.5015,2.1412,0.509,2.0269,0.0869,1.4641,2.2545,-23.1413,16.85,13.5322,1.6535,3.0438,26.9417,2.1365,0.301,0.444,2.605
G2754,4.18,2.1875,1.7526,-0.227,1.4719,0.1364,3.83,2.97,-26.58,28.08,12.6725,1.7044,3.1035,27.1833,2.1371,0.4771,0.345,6.125
G2755X,3.15,2.4422,1.8118,1.1797,2.0914,1.1923,37.74,-4.35,-28.6,31.65,58.3886,1.9206,2.7752,5.8333,1.656,2.0043,0.535,11.503
G2755,5.89,3.0946,2.6979,0.0856,1.8132,0.4646,6.76,2.43,-28.32,14.55,12.7014,1.7287,3.1052,27.3667,2.1465,1.7076,0.6363,4.62
G2757X,5.05,3.7782,2.7878,1.9831,2.6093,1.7891,40.16,0.58,-28.57,22.45,58.0183,1.9206,2.7938,6.0167,1.6566,2.0043,0.573,9.258
G2758,2.6,,1.87,1.4292,2.4804,1.5255,30.788,-0.3464,-29.0491,20.18,3.7103,2.1686,3.41,19.48,1.9336,2,1.039,0.72
G2760,3.44,1.988,1.214,0.2617,1.7182,0.2485,4.15,0.04,-29.15,16.70,3.3033,2.1311,3.4121,25.925,2.1405,2.0043,1.039,5.022
G2788,4.98,2.9629,2.0337,0.8441,2.0062,0.4124,7.26,0.86,-28.16,17.60,58.3022,1.9206,2.7889,5.7667,1.6566,2.0043,0.573,9.258
G2829,6.86,3.7564,3.2974,1.943,2.5499,1.6105,24.05,3.1,-23.97,14.93,58.5567,1.9206,2.7701,5.8083,1.656,2.0043,0.538,10.132
G2830,6.8,3.5433,2.9084,1.2554,2.2239,0.7881,12.62,2.26,-24.49,16.01,58.5846,1.9206,2.7738,5.7417,1.656,2.0043,0.538,10.132
G2831,6.37,3.3585,2.8107,0.5004,2.3502,0.5304,7.56,1.7,-27.05,14.25,58.6204,2.1648,2.8176,5.45,1.7992,2.0043,0.535,11.926
G2836,2.89,2.7131,2.4907,1.9695,2.7758,1.4741,40.29,-0.58,-28.55,27.33,68.6035,1.7885,2.683,-2.7333,1.4646,2.0043,0.292,6.195
G2838,3.57,2.8441,2.3927,1.5734,2.1857,0.6744,13.53,0.3,-26.53,20.06,69.8906,1.9725,2.7582,-3.1583,1.5065,2.0043,0.418,5.171
G2839,2.91,2.7288,2.4552,1.9682,2.5795,0.9486,35.58,-0.65,-26.8,37.51,70.1473,1.9269,2.7042,-1.6,1.4915,2.0043,0.336,9.881
G2840,3.16,2.5139,2.036,1.6111,2.445,1.0534,23.58,-0.06,-26.75,22.38,68.0636,1.8644,2.7474,-3.9083,1.4962,2.0043,0.319,18.679
G2844,5.67,2.6926,2.42,0.4952,1.9412,0.4418,7.8508,-0.6928,-27.2062,17.77,58.0811,1.9707,2.82,4.66,1.6454,2,0.535,0.98
G2846,6.73,2.223,2.13,0.8799,2.0994,0.428,5.6249,2.5606,-28.2363,13.14,58.8927,2.02,2.78,5.58,1.7992,2,0.538,1.01
G2847,6.23,3.4407,2.438,0.4181,1.9303,0.7654,13.43,0.95,-28.79,17.55,58.9281,2.02,2.8,5.5333,1.7992,2.0043,0.538,10.132
G2907,5.8,3.1413,2.2732,0.521,2.15,0.4623,5.0427,6.2822,-27.4972,10.91,20.349,1.9999,3.3259,21.875,2.0352,2.0043,0.988,4.786
G2819,6.87,3.5,2.4871,1.1623,2.0484,0.525,8.4482,2.7461,-27.9887,16.09,58.2341,1.9206,2.781,6.05,1.6566,2.0043,0.573,9.258
G2969,3.17,2.4776,1.939,1.4532,2.4033,1.4958,24.91,-0.17,-28.69,16.65,22.3217,2.1749,3.3797,13.0667,1.8493,2.0043,0.855,4.339
G2971,4.76,2.8988,2.0456,1.2759,2.1063,0.4055,6.4,-1.15,-29.01,15.78,59.4228,2.02,2.8351,5.425,1.6531,2.0043,0.538,11.926
G3050,4.74,2.8943,2.12,1.12,2.1584,0.2684,3.4457,1.193,-26.9571,12.84,29.4564,1.7604,3.33,20.91,2.0662,0.301,0.527,0.78
G3051,5,2.9587,2.2616,1.6318,2.1328,0.2573,3.54,2.07,-28.06,13.76,29.4935,1.7604,3.2869,22.5667,2.0662,0.1761,0.527,6.021
G3055,5.15,3.0484,2.3428,-0.8474,2.1768,0.422,6.18,2.17,-28.92,14.64,14.27,1.8557,3.627,24.0667,2.1252,2.0043,0.568,4.406
G3057,5.25,3.0957,2.3689,-0.3737,2.181,0.4435,6.05,3.07,-28.49,13.64,13.4956,1.9311,3.6072,22.9917,1.9347,2.0043,0.714,5.266
G3059,4.79,2.709,2.105,-0.7883,1.8857,0.4464,6.26,2.53,-28.97,14.02,13.5224,1.8952,3.7915,26.925,2.0194,1.4914,0.714,4.281
G3060,4.91,2.741,1.9294,-0.9118,1.8359,0.2445,3.56,3.64,-28.46,14.56,13.4544,1.9311,3.7835,26.825,1.9347,1.4914,0.714,5.266
G3242,4.2,3.285,2.23,1.6444,2.1356,1.6251,30.8948,-1.1513,-28.4408,19.01,59.4933,2.024,2.81,5.13,1.6452,2,0.573,1.03
G3308,6.89,2.0366,3.609,0.0506,1.937,1.4909,15.4837,5.1133,-23.3336,10.39,58.3012,1.9206,2.7738,6.0417,1.6566,2.0043,0.573,0
G3318,6.64,2.6343,3.7957,1.2449,2.2721,0.9305,13.5139,3.7464,-28.2881,14.52,58.2825,1.9206,2.7679,6.025,1.6566,2.0043,0.573,9.258
G3426,4.81,142.5405806,832.4700893,29.17214738,252.4864774,0.449460892,6.113025898,3.100133016,-28.23781279,13.60,58.35081,1.929813699,2.785329835,5.116666667,1.64731156,2,0.573,0.832636628
G3429,5.63,2.2886,3.0371,0.9999,2.4596,0.3739,5.32,3.19,-28.74,14.23,58.4745,1.9206,2.7566,5.8333,1.6566,2.0043,0.573,11.503
G3484,5.01,3.3448,2.48,1.0481,2.37,0.1753,2.8123,0.7761,-29.3227,16.04,36.7759,1.7382,2.17,33,1.9065,1.4771,0.256,0.67
G3487,6.41,3.1251,3.22,1.9603,2.9701,1.2083,18.8337,2.7725,-26.9971,15.59,36.8185,1.7382,2.25,27,1.9065,1.6021,0.256,0.67
G3504,5.86,3.1812,3.04,1.4965,2.9063,0.8278,19.0182,-1.1615,-28.1459,22.97,36.7778,1.7382,2.15,35,1.9065,2,0.256,0.67
S001,4.55,2.9338,2.41,0.9261,1.7548,0.1381,2.4865,6.369,-26.6342,18.01,25.0621,1.524,3.11,23.08,1.956,2,0.207,0.59
S004,3.68,3.0368,3.05,1.8207,2.6269,0.9016,20.6515,0.473,-28.7421,22.91,24.952,1.524,3.23,22.69,1.956,1,0.207,0.84
S005,3.72,2.9309,2.7046,1.4028,2.1569,0.1433,3.27,1.52,-28.49,22.82,24.9527,1.524,3.2322,22.6917,1.956,2.0043,0.207,6.953
S006,2.58,2.2139,2.143,1.6624,2.392,1.8203,39.2,-0.66,-28.97,21.53,18.9162,1.9811,3.1045,17.85,1.8156,1.0414,0.836,6.48
S103,5.85,3.3919,2.1101,2.0926,2.2894,0.405,5.44,1.76,-27.75,13.43,30.3218,2.1437,3.1953,14.6833,1.8274,2.0043,0.769,3.524
S107,3.93,2.5593,1.6665,-0.7894,2.1129,0.1682,4.69,-1.21,-26.69,27.88,42.0602,2.0858,2.9325,-0.6333,1.6194,2.0043,0.552,3.694
S108,4.37,2.7821,1.8918,0.577,2.0335,0.2775,5.69,0.1,-26.97,20.50,42.0312,2.0858,2.9117,0.2167,1.6194,2.0043,0.552,3.694
S010,3.47,2.0773,1.4701,0.949,1.8558,0.4276,7.53,5.9,-23.22,17.61,22.5665,1.524,2.8096,21.6083,1.956,2.0043,0.207,3.917
S110,5.76,3.3024,2.378,0.6003,2.1861,0.5439,8.88,-0.3,-26.29,16.33,39.9692,1.8682,2.7419,5.375,1.6973,2.0043,0.301,4.536
S160,3.65,3.5086,2.7666,1.6637,2.5764,1.0831,42.36,0.29,-27.53,39.11,48.948,2.1305,3.0573,4.4833,1.6151,2.0043,0.438,8.321
S111,5.36,3.3214,2.3752,0.3166,2.4347,0.3188,3.86,1.51,-25.76,12.11,39.9555,1.8682,2.7536,4.675,1.6973,2.0043,0.301,4.536
S114,2.93,3.4586,2.57,1.6993,2.3952,,20,-2.01,-27.51,,49.0174,2.1138,3.05,4.48,1.6338,2,0.69,0.88
S120,3.24,2.9337,2.5567,1.4402,2.3902,1.0867,28.09,0.9,-29.18,25.85,57.0072,2.0906,2.9961,5.5,1.6466,2.0043,0.499,10.956
S121,3.32,2.2696,1.4231,0.7987,2.0038,0.5458,10.61,-0.76,-27.07,19.44,50.1413,1.9109,2.8482,8.2167,1.7174,2.0043,0.71,7.29
S122,4.25,2.5048,2.39,1.3111,2.4799,0.7645,14.6929,1.0738,-26.2555,19.22,37.9072,1.9297,2.78,9.78,1.7705,2,0.005,0.82
S125,6.36,3.7665,2.9746,1.5142,2.5711,1.0592,17.14,0.99,-26.25,16.18,37.8636,1.9114,2.7566,9.0167,1.7741,2.0043,0.005,6.591
S128,5.34,3.1382,2.4255,0.6864,2.5545,0.4016,5.91,2.33,-28.72,14.72,38.0164,1.902,2.7332,16.075,1.8069,1.0414,0.006,6.591
S129,5.57,3.6582,2.4772,1.1843,2.7345,0.7353,11.59,1.76,-27.41,15.76,37.9017,1.9114,2.7076,12.4417,1.7741,2.0043,0.005,6.591
S012,3.63,2.8925,2.6337,1.3712,2.0366,0.3786,9.4,-0.37,-28.54,24.83,24.7787,1.524,3.2984,22.7833,1.956,2.0043,0.207,3.917
S131,4.77,2.9797,2.0052,1.4941,2.0707,0.6308,9.87,-0.46,-27.26,15.65,51.9107,1.782,2.752,6.2167,1.7071,0.4771,0.24,5.288
S137,4.26,3.1036,1.8711,1.6845,1.8768,0.2344,4.16,1.41,-28.2,17.75,57.0987,1.8326,2.7574,2.6167,1.6347,2.0043,0.518,5.155
S139,6.58,3.7966,3.2491,0.856,2.8546,1.3266,22.58,-1.61,-25.86,17.02,38.4697,1.9394,2.8585,14.6417,1.816,2.0043,0.547,4.946
S140,4.31,3.1439,2.5511,0.9681,2.2168,0.6732,21.58,-3.51,-28.32,32.06,38.7943,1.9394,2.8445,15.125,1.816,2.0043,0.5394,4.946
S141,5.61,2.9349,2.66,1.2213,2.5388,0.8749,13.3864,-0.6082,-28.2498,15.30,36.2122,1.9074,2.77,16.33,1.8058,2,0.363,0.61
S142,3.33,2.2983,1.778,0.637,2.0228,1.1027,19.85,0.88,-28.66,18.00,8.7611,2.1757,3.4515,19.6583,1.8354,2.0043,0.936,7.589
S143,5.08,3.0406,2.5044,-0.5957,2.5123,0.4115,5.41,3.14,-26.21,13.15,8.4868,2.1757,3.5131,26.2833,1.8354,0.6021,0.936,8.437
S148,4.15,2.741,2.0375,-0.0362,2.1775,0.4832,6.75,1.4,-27.82,13.97,8.7574,2.1757,3.5339,21.4167,1.8354,2.0043,0.936,7.589
S149,4.61,3.0531,2.2374,0.1509,2.3883,0.2323,7.77,-2.73,-27.42,33.45,37.8138,1.9344,2.9425,11.2167,1.6848,2.0043,0.044,6.141
S150,5.84,3.2391,2.6174,-1.0905,2.1996,0.3115,3.56,0.53,-30.04,11.43,37.849,1.6854,2.6911,15.4167,1.8535,1.7076,0.221,4.435
S159,3.57,2.7913,1.9878,0.9106,1.8479,0.3928,10.13,3.24,-27.71,25.79,48.9895,2.1305,3.07,3.5333,1.6151,2.0043,0.438,8.321
S162,4.39,3.0544,2.2018,0.8866,2.0811,0.6498,10.64,0.58,-26.99,16.37,68.6232,1.2431,2.3766,-11.3333,1.4081,2.0043,0.204,6.842
S165,4.68,3.0004,2.0773,-0.2937,2.4758,0.2765,5.12,-0.13,-25.42,18.52,22.1989,1.6533,2.8506,14.6667,1.7852,2.0043,0.207,6.564
S168,2.76,2.2545,2.4237,1.5098,2.6563,0.9188,28.73,-3.93,-28.06,31.27,43.1805,1.9978,3.1844,6.9583,1.7275,2.0043,0.805,8.541
S169,3.48,2.9236,2.3037,1.7602,2.4975,1.0418,23.9289,-3.9868,-28.5464,22.97,42.7642,2.1679,3.5769,10.7,1.6651,2.0043,1.154,8.13
S171,2.98,3.3706,2.41,1.4367,2.5284,0.7657,22.5873,-0.8716,-28.9819,29.50,42.3024,2.1634,3.4,8.85,1.7043,2,0.585,0.91
S174,5.39,3.0014,2.2657,-0.1959,1.9642,0.2494,4.9,0.4,-27.17,19.65,17.0231,2.0219,3.2801,21.175,1.9823,0.3979,0.904,6.422
S177,4.44,2.5673,1.877,-0.0914,1.6768,0.0737,1.5973,1.8499,-24.3617,21.67,17.0177,2.0219,3.2819,21.325,1.9823,0.3979,0.904,6.422
S017,4.293333333,166.2366604,90.79626741,2.360719219,185.62444,0.129151265,1.996881353,2.051407826,-24.77921498,15.46,9.2641,1.66,3.14,26.69,2.12,0,0.52,0.49
S181,4.9,3.4066,2.6321,1.1422,2.614,0.8806,18.38,0.4,-29.8,20.87,42.833,2.1289,3.2502,8.7917,1.7058,2.0043,1.119,8.44
S186,4.08,2.9081,2.265,0.3572,2.5849,0.6934,15.76,0.11,-28.96,22.73,43.093,2.0978,3.1741,10.325,1.6566,1.8921,1.137,7.07
S187,5.0144,3.4163,2.5501,1.3711,2.5176,0.8154,17.984,0.214,-27.605,22.06,39.9572,1.8682,2.7536,4.6167,1.6973,2.0043,0.301,4.536
S188,5.0722,3.4014,2.5304,1.3926,2.4897,0.6159,7.8,-0.44,-26.87,12.66,42.3841,2.0858,2.8716,2.325,1.6194,2.0043,0.552,3.694
S190,5.06,2.6885,2.1941,-0.7383,2.3505,0.2315,3.23,3.16,-24.84,13.95,11.4795,1.8652,2.9786,20.7417,1.9036,0.699,0.618,4.726
S193,4.58,2.3975,2.1903,0.2471,2.2628,0.2012,3.17,1.59,-23.92,15.76,11.4841,1.8652,2.9805,20.6583,1.9036,0.1761,0.618,4.726
S194,4.7,2.3349,1.673,-0.9128,1.7909,0.048,0.632,3.3353,-23.7104,13.17,19.8833,1.5812,2.7482,17.6833,1.8538,0.1761,0.217,3.068
