Testname: KC_OD600_Greiner
Date: 3/22/2023  Time: 3:29:40 PM
ID1: MP3_c3_OD_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .038000
A02:   .038400
A03:   .037500
A04:   .035800
A05:   .129900
A06:   .129000
A07:   .129700
A08:   .128400
A09:   .035300
A10:   .034900
A11:   .049000
A12:   .048900
B01:   .164200
B02:   .174800
B03:   .181700
B04:   .189700
B05:   .157000
B06:   .148700
B07:   .163000
B08:   .149600
B09:   .035400
B10:   .035300
B11:   .054100
B12:   .037100
C01:   .048800
C02:   .049600
C03:   .049800
C04:   .049800
C05:   .048600
C06:   .049000
C07:   .049700
C08:   .049300
C09:   .048800
C10:   .049500
C11:   .049200
C12:   .049500
D01:   .049900
D02:   .049500
D03:   .049200
D04:   .048500
D05:   .048900
D06:   .049200
D07:   .049300
D08:   .049700
D09:   .049600
D10:   .048600
D11:   .049300
D12:   .049500
E01:   .049300
E02:   .048600
E03:   .049400
E04:   .049900
E05:   .049600
E06:   .049200
E07:   .049600
E08:   .049100
E09:   .049200
E10:   .049200
E11:   .049600
E12:   .049800
F01:   .049300
F02:   .048400
F03:   .048300
F04:   .049600
F05:   .049600
F06:   .049400
F07:   .049000
F08:   .050600
F09:   .049000
F10:   .049100
F11:   .048700
F12:   .049400
G01:   .049100
G02:   .049300
G03:   .048000
G04:   .050300
G05:   .049400
G06:   .050000
G07:   .048200
G08:   .050700
G09:   .049300
G10:   .049700
G11:   .049100
G12:   .049300
H01:   .049400
H02:   .049800
H03:   .048700
H04:   .048600
H05:   .049200
H06:   .050100
H07:   .050200
H08:   .053200
H09:   .048700
H10:   .049800
H11:   .049100
H12:   .048700

