Testname: KC_OD600_NUNC
Date: 10/30/2022  Time: 5:28:45 PM
ID1: FF_cycle2_OD_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.0070
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .043200
A02:   .043800
A03:   .043700
A04:   .042900
A05:   .142600
A06:   .143900
A07:   .145000
A08:   .146400
A09:   .143800
A10:   .134400
A11:   .139300
A12:   .134700
B01:   .149100
B02:   .146200
B03:   .139700
B04:   .145300
B05:   .142600
B06:   .145900
B07:   .147500
B08:   .152100
B09:   .147000
B10:   .146100
B11:   .144300
B12:   .139400
C01:   .147500
C02:   .151600
C03:   .148400
C04:   .145300
C05:   .147500
C06:   .149200
C07:   .151600
C08:   .153500
C09:   .154700
C10:   .149000
C11:   .146500
C12:   .145100
D01:   .145600
D02:   .142000
D03:   .141400
D04:   .140800
D05:   .144200
D06:   .148600
D07:   .029800
D08:   .144300
D09:   .104600
D10:   .100700
D11:   .087900
D12:   .112600
E01:   .105100
E02:   .107600
E03:   .106000
E04:   .106400
E05:   .120500
E06:   .121800
E07:   .124000
E08:   .129000
E09:   .129300
E10:   .124100
E11:   .120300
E12:   .116500
F01:   .121600
F02:   .123000
F03:   .122500
F04:   .124600
F05:   .122900
F06:   .124200
F07:   .126400
F08:   .145200
F09:   .126000
F10:   .124100
F11:   .119400
F12:   .116800
G01:   .125000
G02:   .124400
G03:   .122900
G04:   .123600
G05:   .125600
G06:   .128900
G07:   .137300
G08:   .133900
G09:   .131300
G10:   .123800
G11:   .122300
G12:   .121400
H01:   .122700
H02:   .125300
H03:   .121200
H04:   .125600
H05:   .125500
H06:   .129000
H07:   .033800
H08:   .034000
H09:   .034000
H10:   .030600
H11:   .029900
H12:   .030400

