Testname: KC_OD600_Greiner
Date: 11/5/2022  Time: 1:28:31 PM
ID1: FF_cycle4_OD_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .037400
A02:   .037500
A03:   .039700
A04:   .036900
A05:   .166000
A06:   .162200
A07:   .165600
A08:   .163600
A09:   .124000
A10:   .125200
A11:   .152000
A12:   .139500
B01:   .123600
B02:   .123500
B03:   .117500
B04:   .124500
B05:   .123400
B06:   .127100
B07:   .123700
B08:   .120700
B09:   .125200
B10:   .124800
B11:   .126600
B12:   .126100
C01:   .121000
C02:   .128000
C03:   .125600
C04:   .123600
C05:   .123000
C06:   .124200
C07:   .131900
C08:   .129000
C09:   .120900
C10:   .126000
C11:   .125500
C12:   .132600
D01:   .126600
D02:   .123400
D03:   .123200
D04:   .127300
D05:   .129700
D06:   .141500
D07:   .038700
D08:   .127400
D09:   .097200
D10:   .087200
D11:   .087400
D12:   .108900
E01:   .133500
E02:   .139000
E03:   .128000
E04:   .128800
E05:   .146300
E06:   .147300
E07:   .145600
E08:   .147800
E09:   .145500
E10:   .143800
E11:   .145000
E12:   .140600
F01:   .149900
F02:   .145800
F03:   .151200
F04:   .147000
F05:   .149800
F06:   .146800
F07:   .149100
F08:   .145700
F09:   .146600
F10:   .147800
F11:   .146100
F12:   .147700
G01:   .142800
G02:   .149300
G03:   .151000
G04:   .148900
G05:   .147400
G06:   .148400
G07:   .149800
G08:   .150800
G09:   .149400
G10:   .148900
G11:   .146000
G12:   .146900
H01:   .157000
H02:   .158500
H03:   .150800
H04:   .150200
H05:   .150100
H06:   .152900
H07:   .038200
H08:   .037800
H09:   .040900
H10:   .033800
H11:   .033100
H12:   .034200

