Testname: KC_NO2NO3_SCAN
Date: 5/23/2022  Time: 10:30:48 PM
ID1: KC_standard_20220523  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   3.341,   0.076
A02:   3.247,   0.074
A03:   3.258,   0.075
A04:   4.166,   0.073
A05:   4.125,   0.071
A06:   4.218,   0.070
A07:   0.058,   0.047
A08:   0.061,   0.049
A09:   0.060,   0.049
A10:   0.063,   0.050
A11:   0.066,   0.050
A12:   0.059,   0.049
B01:   1.840,   0.070
B02:   1.804,   0.070
B03:   1.847,   0.069
B04:   2.119,   0.069
B05:   2.197,   0.121
B06:   2.138,   0.069
B07:   0.060,   0.048
B08:   0.060,   0.047
B09:   0.060,   0.046
B10:   0.061,   0.047
B11:   0.060,   0.047
B12:   0.060,   0.047
C01:   1.069,   0.070
C02:   1.047,   0.079
C03:   1.049,   0.069
C04:   1.207,   0.066
C05:   1.211,   0.067
C06:   1.201,   0.066
C07:   0.061,   0.045
C08:   0.060,   0.046
C09:   0.060,   0.047
C10:   0.064,   0.046
C11:   0.060,   0.045
C12:   0.061,   0.046
D01:   0.657,   0.070
D02:   0.644,   0.070
D03:   0.659,   0.072
D04:   0.668,   0.072
D05:   0.668,   0.072
D06:   0.667,   0.070
D07:   0.060,   0.047
D08:   0.060,   0.046
D09:   0.061,   0.047
D10:   0.060,   0.046
D11:   0.060,   0.047
D12:   0.061,   0.048
E01:   0.416,   0.068
E02:   0.406,   0.068
E03:   0.410,   0.071
E04:   0.451,   0.072
E05:   0.446,   0.069
E06:   0.443,   0.071
E07:   0.059,   0.048
E08:   0.062,   0.049
E09:   0.061,   0.048
E10:   0.060,   0.047
E11:   0.059,   0.048
E12:   0.060,   0.048
F01:   0.303,   0.069
F02:   0.288,   0.070
F03:   0.294,   0.073
F04:   0.286,   0.072
F05:   0.288,   0.071
F06:   0.287,   0.071
F07:   0.063,   0.049
F08:   0.064,   0.049
F09:   0.060,   0.047
F10:   0.060,   0.048
F11:   0.061,   0.050
F12:   0.061,   0.049
G01:   0.244,   0.067
G02:   0.230,   0.070
G03:   0.229,   0.068
G04:   0.232,   0.069
G05:   0.230,   0.070
G06:   0.222,   0.070
G07:   0.060,   0.047
G08:   0.058,   0.046
G09:   0.058,   0.046
G10:   0.060,   0.046
G11:   0.059,   0.046
G12:   0.061,   0.046
H01:   0.179,   0.069
H02:   0.175,   0.071
H03:   0.178,   0.067
H04:   0.191,   0.066
H05:   0.189,   0.070
H06:   0.195,   0.069
H07:   0.061,   0.046
H08:   0.059,   0.045
H09:   0.059,   0.046
H10:   0.061,   0.045
H11:   0.061,   0.046
H12:   0.060,   0.046

