Testname: KC_NO2NO3_SCAN
Date: 5/17/2022  Time: 7:13:17 PM
ID1: Nar_Nap_mvc_cycle2_t6_20220513_1255pm  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.142,   0.092
A02:   0.125,   0.073
A03:   0.123,   0.074
A04:   0.125,   0.073
A05:   0.450,   0.076
A06:   0.715,   0.073
A07:   0.127,   0.075
A08:   0.306,   0.222
A09:   0.526,   0.392
A10:   0.131,   0.074
A11:   0.308,   0.254
A12:   0.302,   0.239
B01:   0.123,   0.070
B02:   0.126,   0.077
B03:   0.717,   0.069
B04:   0.693,   0.069
B05:   3.578,   0.073
B06:   3.652,   0.074
B07:   0.129,   0.072
B08:   0.127,   0.072
B09:   2.244,   0.073
B10:   3.739,   0.077
B11:   2.094,   0.080
B12:   1.556,   0.073
C01:   1.812,   0.076
C02:   3.153,   0.072
C03:   0.295,   0.200
C04:   0.132,   0.080
C05:   0.124,   0.071
C06:   0.129,   0.073
C07:   0.126,   0.072
C08:   0.128,   0.073
C09:   0.127,   0.073
C10:   0.132,   0.074
C11:   0.125,   0.071
C12:   0.146,   0.073
D01:   0.118,   0.082
D02:   0.139,   0.089
D03:   0.126,   0.073
D04:   0.127,   0.074
D05:   0.129,   0.074
D06:   0.122,   0.071
D07:   0.128,   0.073
D08:   0.258,   0.202
D09:   0.125,   0.071
D10:   0.128,   0.072
D11:   0.126,   0.073
D12:   0.521,   0.422
E01:   0.123,   0.075
E02:   0.124,   0.072
E03:   0.126,   0.074
E04:   0.126,   0.071
E05:   0.125,   0.070
E06:   0.124,   0.071
E07:   0.127,   0.073
E08:   0.344,   0.235
E09:   0.129,   0.074
E10:   0.134,   0.075
E11:   0.128,   0.073
E12:   0.126,   0.068
F01:   0.123,   0.072
F02:   0.122,   0.070
F03:   0.126,   0.072
F04:   0.124,   0.071
F05:   3.431,   0.073
F06:   3.610,   0.075
F07:   0.127,   0.073
F08:   0.126,   0.073
F09:   0.123,   0.071
F10:   0.125,   0.074
F11:   3.809,   0.071
F12:   3.833,   0.070
G01:   0.125,   0.071
G02:   0.125,   0.072
G03:   0.129,   0.074
G04:   0.127,   0.073
G05:   3.553,   0.074
G06:   3.863,   0.560
G07:   0.130,   0.072
G08:   0.124,   0.071
G09:   0.130,   0.072
G10:   0.128,   0.074
G11:   3.720,   0.071
G12:   3.850,   0.074
H01:   0.126,   0.075
H02:   0.122,   0.071
H03:   0.127,   0.074
H04:   0.124,   0.070
H05:   0.771,   0.076
H06:   0.756,   0.074
H07:   3.933,   0.072
H08:   4.187,   0.243
H09:   3.925,   0.072
H10:   3.841,   0.071
H11:   4.058,   0.381
H12:   3.956,   0.072

