Testname: KC_NO2NO3_SCAN
Date: 5/17/2022  Time: 7:36:11 PM
ID1: Nar_Nap_mvc_cycle3_t5_20220514_1140am  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.126,   0.072
A02:   0.124,   0.070
A03:   1.365,   0.072
A04:   1.181,   0.075
A05:   2.567,   0.075
A06:   2.601,   0.073
A07:   0.120,   0.071
A08:   0.131,   0.076
A09:   0.124,   0.072
A10:   0.128,   0.074
A11:   2.366,   0.078
A12:   2.644,   0.074
B01:   0.557,   0.072
B02:   0.125,   0.069
B03:   2.552,   0.071
B04:   2.619,   0.073
B05:   3.163,   0.073
B06:   3.174,   0.072
B07:   0.124,   0.070
B08:   0.464,   0.337
B09:   3.224,   0.074
B10:   3.451,   0.073
B11:   2.692,   0.074
B12:   2.326,   0.075
C01:   2.895,   0.073
C02:   3.127,   0.073
C03:   0.125,   0.070
C04:   0.125,   0.071
C05:   0.126,   0.072
C06:   0.124,   0.070
C07:   1.849,   0.071
C08:   1.692,   0.072
C09:   0.126,   0.072
C10:   0.125,   0.069
C11:   0.126,   0.071
C12:   0.130,   0.074
D01:   0.128,   0.071
D02:   0.129,   0.072
D03:   0.125,   0.071
D04:   0.126,   0.072
D05:   1.055,   0.072
D06:   1.028,   0.071
D07:   0.124,   0.072
D08:   0.123,   0.073
D09:   0.125,   0.072
D10:   0.659,   0.561
D11:   0.127,   0.073
D12:   0.388,   0.272
E01:   0.132,   0.071
E02:   0.728,   0.072
E03:   0.129,   0.073
E04:   0.131,   0.072
E05:   0.568,   0.079
E06:   0.123,   0.071
E07:   0.125,   0.073
E08:   0.126,   0.072
E09:   0.127,   0.073
E10:   0.129,   0.074
E11:   0.127,   0.072
E12:   0.447,   0.324
F01:   1.117,   0.070
F02:   1.014,   0.071
F03:   0.131,   0.073
F04:   0.130,   0.071
F05:   3.212,   0.073
F06:   3.344,   0.231
F07:   0.129,   0.074
F08:   0.130,   0.073
F09:   0.128,   0.070
F10:   0.130,   0.072
F11:   3.516,   0.074
F12:   3.524,   0.074
G01:   0.850,   0.068
G02:   0.129,   0.070
G03:   0.266,   0.069
G04:   0.303,   0.070
G05:   3.149,   0.074
G06:   3.137,   0.073
G07:   0.132,   0.073
G08:   0.127,   0.070
G09:   0.128,   0.071
G10:   0.129,   0.073
G11:   3.497,   0.104
G12:   3.581,   0.152
H01:   0.135,   0.072
H02:   0.135,   0.071
H03:   0.131,   0.069
H04:   0.132,   0.073
H05:   0.690,   0.072
H06:   0.694,   0.097
H07:   3.473,   0.073
H08:   3.480,   0.073
H09:   3.536,   0.073
H10:   3.439,   0.072
H11:   3.429,   0.073
H12:   3.478,   0.074

