Testname: KC_NO2NO3_SCAN
Date: 5/23/2022  Time: 10:36:47 PM
ID1: Nar_Nap_mvc_cycle5_t1_20220519_1421  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.696,   0.077
A02:   2.636,   0.072
A03:   2.659,   0.073
A04:   2.731,   0.073
A05:   2.907,   0.074
A06:   3.002,   0.073
A07:   2.921,   0.080
A08:   2.913,   0.073
A09:   2.798,   0.072
A10:   2.964,   0.073
A11:   3.069,   0.073
A12:   3.001,   0.073
B01:   2.713,   0.087
B02:   2.691,   0.069
B03:   2.872,   0.077
B04:   2.947,   0.072
B05:   3.109,   0.073
B06:   3.165,   0.070
B07:   3.021,   0.072
B08:   3.005,   0.071
B09:   3.285,   0.073
B10:   3.441,   0.071
B11:   3.019,   0.071
B12:   2.949,   0.073
C01:   2.845,   0.072
C02:   3.051,   0.069
C03:   2.688,   0.070
C04:   2.732,   0.073
C05:   2.759,   0.073
C06:   2.751,   0.070
C07:   3.013,   0.071
C08:   3.024,   0.073
C09:   2.820,   0.071
C10:   2.947,   0.070
C11:   2.912,   0.071
C12:   2.877,   0.073
D01:   2.712,   0.073
D02:   2.755,   0.073
D03:   2.725,   0.072
D04:   2.761,   0.074
D05:   2.780,   0.074
D06:   2.752,   0.072
D07:   2.909,   0.073
D08:   2.945,   0.074
D09:   2.886,   0.073
D10:   2.955,   0.073
D11:   2.919,   0.073
D12:   2.914,   0.071
E01:   2.704,   0.071
E02:   2.677,   0.073
E03:   2.725,   0.073
E04:   2.746,   0.072
E05:   2.756,   0.075
E06:   2.766,   0.078
E07:   2.941,   0.073
E08:   2.926,   0.072
E09:   2.898,   0.071
E10:   2.903,   0.072
E11:   2.927,   0.072
E12:   2.902,   0.069
F01:   2.721,   0.071
F02:   2.772,   0.073
F03:   2.762,   0.074
F04:   2.760,   0.072
F05:   3.183,   0.073
F06:   3.213,   0.073
F07:   3.042,   0.073
F08:   3.029,   0.073
F09:   2.985,   0.072
F10:   3.081,   0.072
F11:   3.457,   0.072
F12:   3.422,   0.071
G01:   2.706,   0.072
G02:   2.756,   0.071
G03:   2.747,   0.071
G04:   2.764,   0.074
G05:   3.182,   0.072
G06:   3.157,   0.071
G07:   3.044,   0.072
G08:   3.020,   0.071
G09:   2.986,   0.072
G10:   3.037,   0.074
G11:   3.403,   0.070
G12:   3.439,   0.071
H01:   0.146,   0.071
H02:   0.148,   0.070
H03:   0.149,   0.069
H04:   0.149,   0.074
H05:   0.689,   0.081
H06:   0.686,   0.070
H07:   3.423,   0.069
H08:   3.417,   0.070
H09:   3.324,   0.070
H10:   3.482,   0.071
H11:   3.431,   0.069
H12:   3.444,   0.072

