Testname: KC_OD600_Greiner
Date: 5/10/2022  Time: 12:42:20 PM
ID1: KC_NarG_NapA_co_vs_mono_cycle1_endpoint_1240pm  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .048200
A02:   .056200
A03:   .111400
A04:   .109700
A05:   .080500
A06:   .083200
A07:   .113400
A08:   .116100
A09:   .104200
A10:   .111700
A11:   .049500
A12:   .060200
B01:   .067800
B02:   .069500
B03:   .064700
B04:   .066100
B05:   .042300
B06:   .043700
B07:   .112000
B08:   .130600
B09:   .066500
B10:   .040800
B11:   .051800
B12:   .052800
C01:   .043700
C02:   .036600
C03:   .076400
C04:   .079400
C05:   .083000
C06:   .094600
C07:   .056500
C08:   .058500
C09:   .099400
C10:   .100600
C11:   .100900
C12:   .104100
D01:   .049200
D02:   .053800
D03:   .043000
D04:   .047100
D05:   .088600
D06:   .090800
D07:   .115600
D08:   .118600
D09:   .105900
D10:   .104500
D11:   .058200
D12:   .056600
E01:   .168400
E02:   .078800
E03:   .131300
E04:   .132200
E05:   .059200
E06:   .063200
E07:   .096900
E08:   .102600
E09:   .136000
E10:   .140300
E11:   .058200
E12:   .060700
F01:   .070400
F02:   .068300
F03:   .076100
F04:   .073500
F05:   .032900
F06:   .033900
F07:   .086400
F08:   .083900
F09:   .097200
F10:   .107900
F11:   .033600
F12:   .033000
G01:   .069800
G02:   .079000
G03:   .071000
G04:   .069800
G05:   .033100
G06:   .033200
G07:   .110700
G08:   .116700
G09:   .089700
G10:   .088100
G11:   .032900
G12:   .032900
H01:   .034000
H02:   .041600
H03:   .050300
H04:   .041500
H05:   .033800
H06:   .034500
H07:   .033700
H08:   .032800
H09:   .033200
H10:   .032400
H11:   .033200
H12:   .033100

