Testname: KC_OD600_Greiner
Date: 5/13/2022  Time: 1:12:21 PM
ID1: KC_NarG_NapA_co_vs_mono_cycle2_endpoint_1300  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .060700
A02:   .059100
A03:   .083600
A04:   .076900
A05:   .079900
A06:   .072100
A07:   .107000
A08:   .108200
A09:   .103200
A10:   .106100
A11:   .067800
A12:   .056700
B01:   .062800
B02:   .067100
B03:   .064600
B04:   .060200
B05:   .033400
B06:   .033300
B07:   .097500
B08:   .095800
B09:   .054800
B10:   .039000
B11:   .105100
B12:   .122900
C01:   .037300
C02:   .034600
C03:   .057500
C04:   .071400
C05:   .062900
C06:   .061700
C07:   .070700
C08:   .063900
C09:   .107100
C10:   .111400
C11:   .112300
C12:   .109900
D01:   .070400
D02:   .070600
D03:   .075800
D04:   .072400
D05:   .083400
D06:   .085000
D07:   .109200
D08:   .115100
D09:   .133300
D10:   .105300
D11:   .081500
D12:   .101400
E01:   .114900
E02:   .093200
E03:   .126900
E04:   .128300
E05:   .061400
E06:   .076600
E07:   .138700
E08:   .104200
E09:   .140800
E10:   .140000
E11:   .081300
E12:   .084600
F01:   .060500
F02:   .057900
F03:   .067900
F04:   .066600
F05:   .033500
F06:   .034600
F07:   .088100
F08:   .085600
F09:   .092900
F10:   .092500
F11:   .034100
F12:   .033300
G01:   .060000
G02:   .064600
G03:   .063900
G04:   .065100
G05:   .033400
G06:   .033100
G07:   .097000
G08:   .099000
G09:   .100800
G10:   .099700
G11:   .033500
G12:   .033700
H01:   .034400
H02:   .034100
H03:   .035000
H04:   .033500
H05:   .033500
H06:   .039000
H07:   .033600
H08:   .032900
H09:   .033700
H10:   .033400
H11:   .033100
H12:   .033000

