Testname: KC_OD600_Greiner
Date: 5/25/2022  Time: 12:07:51 PM
ID1: KC_NarG_NapA_co_vs_mono_cycle6_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .062400
A02:   .062400
A03:   .074500
A04:   .071700
A05:   .033900
A06:   .033800
A07:   .112300
A08:   .113300
A09:   .113300
A10:   .114900
A11:   .077600
A12:   .076600
B01:   .057400
B02:   .060400
B03:   .062700
B04:   .069700
B05:   .109700
B06:   .115400
B07:   .093800
B08:   .094400
B09:   .050600
B10:   .035100
B11:   .138600
B12:   .140000
C01:   .075300
C02:   .042200
C03:   .069700
C04:   .063700
C05:   .061100
C06:   .061500
C07:   .092400
C08:   .059400
C09:   .116400
C10:   .115700
C11:   .120200
C12:   .115300
D01:   .067800
D02:   .064400
D03:   .061700
D04:   .062300
D05:   .066300
D06:   .052500
D07:   .116800
D08:   .117600
D09:   .115400
D10:   .115200
D11:   .112900
D12:   .115100
E01:   .064200
E02:   .070900
E03:   .109300
E04:   .107200
E05:   .046200
E06:   .047400
E07:   .116000
E08:   .116000
E09:   .171200
E10:   .114800
E11:   .114900
E12:   .116000
F01:   .069500
F02:   .085700
F03:   .070100
F04:   .063500
F05:   .033700
F06:   .034100
F07:   .097500
F08:   .099200
F09:   .091100
F10:   .088400
F11:   .034500
F12:   .039000
G01:   .055200
G02:   .068800
G03:   .059200
G04:   .057200
G05:   .033500
G06:   .033800
G07:   .091700
G08:   .093300
G09:   .098600
G10:   .095100
G11:   .033800
G12:   .033300
H01:   .035600
H02:   .035800
H03:   .035900
H04:   .034500
H05:   .034300
H06:   .034400
H07:   .034000
H08:   .033000
H09:   .033900
H10:   .033000
H11:   .033600
H12:   .033900

