,NO3,NO2
A01,2,0
A02,2,0
A03,2,0
A04,0,2
A05,0,2
A06,0,2
A07,,
A08,,
A09,,
A10,,
A11,,
A12,,
B01,1,0
B02,1,0
B03,1,0
B04,0,1
B05,0,1
B06,0,1
B07,,
B08,,
B09,,
B10,,
B11,,
B12,,
C01,0.5,0
C02,0.5,0
C03,0.5,0
C04,0,0.5
C05,0,0.5
C06,0,0.5
C07,,
C08,,
C09,,
C10,,
C11,,
C12,,
D01,0.25,0
D02,0.25,0
D03,0.25,0
D04,0,0.25
D05,0,0.25
D06,0,0.25
D07,,
D08,,
D09,,
D10,,
D11,,
D12,,
E01,0.125,0
E02,0.125,0
E03,0.125,0
E04,0,0.125
E05,0,0.125
E06,0,0.125
E07,,
E08,,
E09,,
E10,,
E11,,
E12,,
F01,0.0625,0
F02,0.0625,0
F03,0.0625,0
F04,0,0.0625
F05,0,0.0625
F06,0,0.0625
F07,,
F08,,
F09,,
F10,,
F11,,
F12,,
G01,0.03125,0
G02,0.03125,0
G03,0.03125,0
G04,0,0.03125
G05,0,0.03125
G06,0,0.03125
G07,,
G08,,
G09,,
G10,,
G11,,
G12,,
H01,0,0
H02,0,0
H03,0,0
H04,0,0
H05,0,0
H06,0,0
H07,,
H08,,
H09,,
H10,,
H11,,
H12,,
