Testname: KC_NO2NO3_SCAN
Date: 9/12/2022  Time: 10:13:18 PM
ID1: drex_3_c2_t6_20220908_1656  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.136,   0.070
A02:   0.133,   0.068
A03:   0.140,   0.071
A04:   0.138,   0.070
A05:   0.139,   0.069
A06:   0.138,   0.070
A07:   0.139,   0.071
A08:   0.137,   0.070
A09:   0.139,   0.072
A10:   0.059,   0.051
A11:   0.059,   0.050
A12:   0.059,   0.051
B01:   0.145,   0.073
B02:   0.139,   0.070
B03:   0.141,   0.071
B04:   1.328,   0.072
B05:   1.346,   0.072
B06:   1.073,   0.071
B07:   2.515,   0.070
B08:   2.484,   0.073
B09:   2.550,   0.075
B10:   0.060,   0.051
B11:   0.059,   0.051
B12:   0.059,   0.050
C01:   0.135,   0.068
C02:   0.136,   0.070
C03:   0.137,   0.073
C04:   0.143,   0.073
C05:   0.133,   0.070
C06:   0.134,   0.074
C07:   0.132,   0.071
C08:   0.131,   0.073
C09:   0.138,   0.076
C10:   0.059,   0.051
C11:   0.063,   0.054
C12:   0.059,   0.051
D01:   0.137,   0.071
D02:   0.132,   0.070
D03:   0.133,   0.070
D04:   1.192,   0.070
D05:   1.077,   0.069
D06:   1.097,   0.239
D07:   2.166,   0.074
D08:   2.159,   0.074
D09:   2.183,   0.077
D10:   0.064,   0.055
D11:   0.058,   0.050
D12:   0.059,   0.050
E01:   1.387,   0.071
E02:   1.893,   0.075
E03:   1.887,   0.072
E04:   2.032,   0.072
E05:   2.051,   0.072
E06:   1.817,   0.071
E07:   1.857,   0.071
E08:   2.006,   0.073
E09:   2.050,   0.071
E10:   0.068,   0.057
E11:   0.058,   0.049
E12:   0.059,   0.050
F01:   0.061,   0.053
F02:   0.060,   0.050
F03:   0.060,   0.050
F04:   0.060,   0.050
F05:   0.059,   0.050
F06:   0.058,   0.049
F07:   0.059,   0.049
F08:   0.060,   0.051
F09:   0.058,   0.049
F10:   0.063,   0.052
F11:   0.059,   0.049
F12:   0.059,   0.049
G01:   0.058,   0.052
G02:   0.059,   0.049
G03:   0.059,   0.048
G04:   0.059,   0.049
G05:   0.060,   0.052
G06:   0.059,   0.050
G07:   0.059,   0.049
G08:   0.058,   0.049
G09:   0.058,   0.050
G10:   0.059,   0.048
G11:   0.059,   0.050
G12:   0.059,   0.049
H01:   0.059,   0.052
H02:   0.060,   0.052
H03:   0.058,   0.049
H04:   0.059,   0.052
H05:   0.058,   0.050
H06:   0.058,   0.049
H07:   0.058,   0.049
H08:   0.058,   0.048
H09:   0.058,   0.052
H10:   0.058,   0.049
H11:   0.059,   0.050
H12:   0.058,   0.047

