Testname: KC_NO2NO3_SCAN
Date: 9/12/2022  Time: 10:44:45 PM
ID1: drex_3_c1_t1_20220903  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.141,   0.071
A02:   0.136,   0.071
A03:   0.142,   0.069
A04:   0.133,   0.070
A05:   0.134,   0.072
A06:   0.139,   0.074
A07:   0.134,   0.071
A08:   0.136,   0.071
A09:   0.131,   0.070
A10:   0.137,   0.072
A11:   0.142,   0.075
A12:   0.137,   0.071
B01:   0.135,   0.069
B02:   0.139,   0.071
B03:   0.162,   0.089
B04:   0.138,   0.072
B05:   0.136,   0.070
B06:   0.140,   0.070
B07:   0.136,   0.068
B08:   0.135,   0.069
B09:   0.135,   0.070
B10:   0.136,   0.071
B11:   0.134,   0.071
B12:   0.135,   0.070
C01:   0.144,   0.072
C02:   0.150,   0.075
C03:   0.146,   0.077
C04:   0.141,   0.075
C05:   0.142,   0.073
C06:   0.140,   0.073
C07:   0.141,   0.073
C08:   0.139,   0.074
C09:   0.140,   0.074
C10:   0.138,   0.075
C11:   0.133,   0.075
C12:   0.136,   0.077
D01:   0.143,   0.072
D02:   0.142,   0.072
D03:   0.150,   0.075
D04:   0.145,   0.072
D05:   0.144,   0.072
D06:   0.140,   0.072
D07:   0.143,   0.074
D08:   0.138,   0.072
D09:   0.147,   0.076
D10:   0.138,   0.072
D11:   0.137,   0.072
D12:   0.137,   0.073
E01:   1.831,   0.074
E02:   1.836,   0.072
E03:   1.872,   0.157
E04:   1.813,   0.070
E05:   1.785,   0.072
E06:   1.817,   0.070
E07:   0.138,   0.067
E08:   0.138,   0.067
E09:   0.142,   0.069
E10:   0.136,   0.067
E11:   0.135,   0.068
E12:   0.128,   0.068
F01:   0.059,   0.049
F02:   0.060,   0.047
F03:   0.062,   0.049
F04:   0.061,   0.048
F05:   0.064,   0.051
F06:   0.061,   0.049
F07:   0.060,   0.048
F08:   0.059,   0.047
F09:   0.063,   0.050
F10:   0.060,   0.047
F11:   0.060,   0.048
F12:   0.061,   0.048
G01:   0.059,   0.049
G02:   0.060,   0.048
G03:   0.061,   0.050
G04:   0.067,   0.052
G05:   0.061,   0.050
G06:   0.061,   0.049
G07:   0.060,   0.049
G08:   0.062,   0.049
G09:   0.060,   0.049
G10:   0.059,   0.047
G11:   0.065,   0.050
G12:   0.059,   0.048
H01:   0.060,   0.049
H02:   0.066,   0.053
H03:   0.064,   0.052
H04:   0.060,   0.051
H05:   0.061,   0.051
H06:   0.062,   0.050
H07:   0.059,   0.049
H08:   0.061,   0.050
H09:   0.059,   0.051
H10:   0.064,   0.052
H11:   0.064,   0.052
H12:   0.062,   0.049

