Testname: KC_NO2NO3_SCAN
Date: 9/12/2022  Time: 10:22:29 PM
ID1: drex_3_c2_t4_20220906_1345  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.139,   0.068
A02:   0.135,   0.068
A03:   0.132,   0.069
A04:   0.143,   0.069
A05:   0.132,   0.068
A06:   0.136,   0.069
A07:   0.136,   0.072
A08:   0.135,   0.071
A09:   0.133,   0.069
A10:   0.059,   0.048
A11:   0.059,   0.048
A12:   0.061,   0.049
B01:   0.141,   0.069
B02:   0.134,   0.068
B03:   0.138,   0.068
B04:   1.424,   0.080
B05:   1.237,   0.069
B06:   1.061,   0.068
B07:   2.386,   0.071
B08:   2.806,   0.071
B09:   2.294,   0.072
B10:   0.060,   0.049
B11:   0.062,   0.050
B12:   0.060,   0.048
C01:   0.141,   0.071
C02:   0.134,   0.068
C03:   0.136,   0.071
C04:   0.136,   0.070
C05:   0.130,   0.068
C06:   0.160,   0.095
C07:   0.136,   0.072
C08:   0.133,   0.070
C09:   0.135,   0.069
C10:   0.062,   0.049
C11:   0.060,   0.047
C12:   0.061,   0.050
D01:   0.144,   0.072
D02:   0.185,   0.068
D03:   0.134,   0.068
D04:   1.252,   0.069
D05:   1.164,   0.067
D06:   1.069,   0.067
D07:   2.419,   0.072
D08:   2.063,   0.071
D09:   2.517,   0.069
D10:   0.060,   0.049
D11:   0.060,   0.049
D12:   0.061,   0.048
E01:   1.911,   0.071
E02:   1.918,   0.071
E03:   1.914,   0.072
E04:   1.903,   0.071
E05:   1.904,   0.070
E06:   1.889,   0.069
E07:   1.910,   0.069
E08:   1.880,   0.070
E09:   1.906,   0.069
E10:   0.060,   0.047
E11:   0.059,   0.048
E12:   0.059,   0.048
F01:   0.061,   0.050
F02:   0.059,   0.046
F03:   0.060,   0.047
F04:   0.060,   0.046
F05:   0.060,   0.048
F06:   0.059,   0.047
F07:   0.060,   0.047
F08:   0.060,   0.048
F09:   0.059,   0.047
F10:   0.062,   0.049
F11:   0.059,   0.047
F12:   0.059,   0.047
G01:   0.059,   0.047
G02:   0.059,   0.046
G03:   0.060,   0.046
G04:   0.060,   0.047
G05:   0.062,   0.049
G06:   0.059,   0.047
G07:   0.062,   0.048
G08:   0.061,   0.047
G09:   0.060,   0.047
G10:   0.059,   0.046
G11:   0.060,   0.047
G12:   0.061,   0.048
H01:   0.060,   0.049
H02:   0.059,   0.047
H03:   0.059,   0.046
H04:   0.066,   0.055
H05:   0.059,   0.047
H06:   0.059,   0.047
H07:   0.058,   0.047
H08:   0.059,   0.047
H09:   0.059,   0.048
H10:   0.060,   0.048
H11:   0.059,   0.046
H12:   0.064,   0.050

