Testname: KC_NO2NO3_SCAN
Date: 9/12/2022  Time: 9:09:02 PM
ID1: standard  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   3.216,   0.067
A02:   3.276,   0.068
A03:   3.414,   0.072
A04:   3.120,   0.069
A05:   3.076,   0.069
A06:   3.057,   0.070
A07:   0.060,   0.047
A08:   0.063,   0.048
A09:   0.062,   0.046
A10:   0.064,   0.050
A11:   0.064,   0.049
A12:   0.060,   0.046
B01:   1.826,   0.067
B02:   1.859,   0.068
B03:   1.877,   0.068
B04:   1.681,   0.068
B05:   1.718,   0.066
B06:   1.690,   0.066
B07:   0.060,   0.046
B08:   0.059,   0.047
B09:   0.061,   0.047
B10:   0.061,   0.047
B11:   0.061,   0.047
B12:   0.062,   0.047
C01:   1.047,   0.063
C02:   1.062,   0.066
C03:   1.063,   0.067
C04:   0.907,   0.067
C05:   0.914,   0.067
C06:   0.916,   0.066
C07:   0.062,   0.047
C08:   0.068,   0.049
C09:   0.061,   0.047
C10:   0.065,   0.049
C11:   0.060,   0.048
C12:   0.060,   0.047
D01:   0.612,   0.064
D02:   0.615,   0.065
D03:   0.616,   0.067
D04:   0.520,   0.066
D05:   0.521,   0.066
D06:   0.519,   0.067
D07:   0.063,   0.048
D08:   0.066,   0.051
D09:   0.066,   0.051
D10:   0.073,   0.054
D11:   0.061,   0.048
D12:   0.060,   0.046
E01:   0.376,   0.067
E02:   0.378,   0.066
E03:   0.380,   0.067
E04:   0.344,   0.094
E05:   0.322,   0.064
E06:   0.325,   0.067
E07:   0.061,   0.048
E08:   0.060,   0.047
E09:   0.061,   0.049
E10:   0.060,   0.048
E11:   0.060,   0.047
E12:   0.060,   0.047
F01:   0.264,   0.065
F02:   0.259,   0.064
F03:   0.263,   0.064
F04:   0.229,   0.065
F05:   0.229,   0.065
F06:   0.229,   0.065
F07:   0.062,   0.047
F08:   0.060,   0.046
F09:   0.061,   0.047
F10:   0.061,   0.046
F11:   0.060,   0.047
F12:   0.059,   0.046
G01:   0.211,   0.068
G02:   0.205,   0.066
G03:   0.208,   0.067
G04:   0.189,   0.065
G05:   0.189,   0.066
G06:   0.187,   0.067
G07:   0.062,   0.045
G08:   0.060,   0.046
G09:   0.061,   0.045
G10:   0.064,   0.050
G11:   0.060,   0.045
G12:   0.060,   0.045
H01:   0.153,   0.065
H02:   0.148,   0.064
H03:   0.163,   0.067
H04:   0.155,   0.066
H05:   0.150,   0.065
H06:   0.149,   0.066
H07:   0.060,   0.045
H08:   0.061,   0.047
H09:   0.059,   0.047
H10:   0.060,   0.046
H11:   0.060,   0.046
H12:   0.060,   0.045

