Testname: KC_OD600_24well
Date: 8/31/2022  Time: 1:23:44 PM
ID1: 083122_SDMON  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.0593
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
T[°C]: 28.2
A01:         -
A02:         -
A03:         -
A04:         -
A05:         -
A06:         -
B01:         -
B02:  1.385000
B03:   .147400
B04:  1.521200
B05:         -
B06:         -
C01:         -
C02:  1.350500
C03:   .227500
C04:  1.467300
C05:         -
C06:         -
D01:         -
D02:         -
D03:         -
D04:         -
D05:         -
D06:         -

