Testname: KC_OD600_24well
Date: 8/31/2022  Time: 1:45:49 PM
ID1: 083122_SDMON_D1  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.0593
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
T[°C]: 30.1
A01:         -
A02:         -
A03:         -
A04:         -
A05:         -
A06:         -
B01:         -
B02:  1.315200
B03:   .092800
B04:  1.115400
B05:         -
B06:         -
C01:         -
C02:  1.267400
C03:   .096000
C04:  1.085300
C05:         -
C06:         -
D01:         -
D02:         -
D03:         -
D04:         -
D05:         -
D06:         -

