Testname: KC_OD600_Greiner
Date: 9/3/2022  Time: 1:12:43 PM
ID1: 090322_Cycle1_EndPt  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
T[°C]: 30.0
A01:   .081300
A02:   .083300
A03:   .082700
A04:   .082500
A05:   .086400
A06:   .083600
A07:   .082700
A08:   .082900
A09:   .082700
A10:   .085300
A11:   .084000
A12:   .083600
B01:   .100300
B02:   .100600
B03:   .102600
B04:   .102000
B05:   .101400
B06:   .103600
B07:   .097600
B08:   .103100
B09:   .103400
B10:   .103800
B11:   .106300
B12:   .103700
C01:   .097800
C02:   .095700
C03:   .095500
C04:   .093900
C05:   .094800
C06:   .093300
C07:   .090200
C08:   .095800
C09:   .095400
C10:   .091900
C11:   .095200
C12:   .092800
D01:   .089100
D02:   .087300
D03:   .088000
D04:   .092000
D05:   .093600
D06:   .088100
D07:   .092800
D08:   .094200
D09:   .089300
D10:   .094200
D11:   .091600
D12:   .088400
E01:   .033800
E02:   .034000
E03:   .034600
E04:   .034200
E05:   .034300
E06:   .034600
E07:   .050100
E08:   .050800
E09:   .050200
E10:   .050400
E11:   .050100
E12:   .051000
F01:   .049100
F02:   .048600
F03:   .050100
F04:   .049800
F05:   .049200
F06:   .049500
F07:   .050000
F08:   .048900
F09:   .049300
F10:   .050600
F11:   .050000
F12:   .049200
G01:   .049400
G02:   .049400
G03:   .049500
G04:   .049000
G05:   .049200
G06:   .049400
G07:   .049500
G08:   .049800
G09:   .050900
G10:   .049000
G11:   .049100
G12:   .048300
H01:   .049400
H02:   .050000
H03:   .049400
H04:   .048600
H05:   .050500
H06:   .050700
H07:   .049400
H08:   .048900
H09:   .049100
H10:   .048400
H11:   .048800
H12:   .050000

