Testname: KC_OD600_NUNC
Date: 9/9/2022  Time: 4:20:58 PM
ID1: deathcurve_c2_OD_endpt_090922  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.0070
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .032400
A02:   .033800
A03:   .033400
A04:   .030900
A05:   .030900
A06:   .031500
A07:   .060900
A08:   .070000
A09:   .063500
A10:   .042200
A11:   .042700
A12:   .042400
B01:   .041500
B02:   .040100
B03:   .040500
B04:   .030400
B05:   .030700
B06:   .032400
B07:   .029600
B08:   .030000
B09:   .029800
B10:   .042500
B11:   .043000
B12:   .042800
C01:   .040900
C02:   .034000
C03:   .033600
C04:   .034600
C05:   .034000
C06:   .034900
C07:   .081600
C08:   .080700
C09:   .080600
C10:   .042400
C11:   .042000
C12:   .043100
D01:   .043300
D02:   .039100
D03:   .042800
D04:   .034200
D05:   .038300
D06:   .043900
D07:   .032800
D08:   .033300
D09:   .048100
D10:   .042700
D11:   .042400
D12:   .043000
E01:   .030800
E02:   .031200
E03:   .030900
E04:   .030300
E05:   .030200
E06:   .030300
E07:   .030300
E08:   .030100
E09:   .030500
E10:   .042900
E11:   .042100
E12:   .042800
F01:   .042700
F02:   .042900
F03:   .043300
F04:   .043200
F05:   .042800
F06:   .042800
F07:   .042800
F08:   .042900
F09:   .043100
F10:   .042900
F11:   .042900
F12:   .042600
G01:   .043100
G02:   .043000
G03:   .046000
G04:   .042800
G05:   .042900
G06:   .044300
G07:   .042600
G08:   .042800
G09:   .042600
G10:   .042900
G11:   .042800
G12:   .043000
H01:   .043600
H02:   .042500
H03:   .041900
H04:   .043000
H05:   .042900
H06:   .042100
H07:   .042100
H08:   .042300
H09:   .042100
H10:   .042600
H11:   .042200
H12:   .042400

