,NO3_0,NO2_0,succinate,pH,isolate,strain_ID,genotype,invaded
A01,0,0,4,6,6-1-12-14,p,NarG,no
A02,0,0,4,6,6-1-12-14,p,NarG,no
A03,0,0,4,6,6-1-12-14,p,NarG,no
A04,0,0,4,7.3,6-1-12-14,p,NarG,no
A05,0,0,4,7.3,6-1-12-14,p,NarG,no
A06,0,0,4,7.3,6-1-12-14,p,NarG,no
A07,0,2,4,7.3,6-1-12-14,p,NarG,no
A08,0,2,4,7.3,6-1-12-14,p,NarG,no
A09,0,2,4,7.3,6-1-12-14,p,NarG,no
A10,,,,,,,,
A11,,,,,,,,
A12,,,,,,,,
B01,0,0.5,4,6,6-1-12-14,p,NarG,no
B02,0,0.5,4,6,6-1-12-14,p,NarG,no
B03,0,0.5,4,6,6-1-12-14,p,NarG,no
B04,0,1,4,6,6-1-12-14,p,NarG,no
B05,0,1,4,6,6-1-12-14,p,NarG,no
B06,0,1,4,6,6-1-12-14,p,NarG,no
B07,0,2,4,6,6-1-12-14,p,NarG,no
B08,0,2,4,6,6-1-12-14,p,NarG,no
B09,0,2,4,6,6-1-12-14,p,NarG,no
B10,,,,,,,,
B11,,,,,,,,
B12,,,,,,,,
C01,0,0,4,6,7-1-12-1,r,NapA,no
C02,0,0,4,6,7-1-12-1,r,NapA,no
C03,0,0,4,6,7-1-12-1,r,NapA,no
C04,0,0,4,7.3,7-1-12-1,r,NapA,no
C05,0,0,4,7.3,7-1-12-1,r,NapA,no
C06,0,0,4,7.3,7-1-12-1,r,NapA,no
C07,0,2,4,7.3,7-1-12-1,r,NapA,no
C08,0,2,4,7.3,7-1-12-1,r,NapA,no
C09,0,2,4,7.3,7-1-12-1,r,NapA,no
C10,,,,,,,,
C11,,,,,,,,
C12,,,,,,,,
D01,0,0.5,4,6,7-1-12-1,r,NapA,no
D02,0,0.5,4,6,7-1-12-1,r,NapA,no
D03,0,0.5,4,6,7-1-12-1,r,NapA,no
D04,0,1,4,6,7-1-12-1,r,NapA,no
D05,0,1,4,6,7-1-12-1,r,NapA,no
D06,0,1,4,6,7-1-12-1,r,NapA,no
D07,0,2,4,6,7-1-12-1,r,NapA,no
D08,0,2,4,6,7-1-12-1,r,NapA,no
D09,0,2,4,6,7-1-12-1,r,NapA,no
D10,,,,,,,,
D11,,,,,,,,
D12,,,,,,,,
E01,1,0,4,7.3,blank,blank,blank,no
E02,1,0,4,7.3,blank,blank,blank,no
E03,1,0,4,7.3,blank,blank,blank,no
E04,1,0,4,7.3,blank,blank,blank,no
E05,1,0,4,7.3,blank,blank,blank,no
E06,1,0,4,7.3,blank,blank,blank,no
E07,1,0,4,7.3,blank,blank,blank,no
E08,1,0,4,7.3,blank,blank,blank,no
E09,1,0,4,7.3,blank,blank,blank,no
E10,,,,,,,,
E11,,,,,,,,
E12,,,,,,,,
F01,,,,,,,,
F02,,,,,,,,
F03,,,,,,,,
F04,,,,,,,,
F05,,,,,,,,
F06,,,,,,,,
F07,,,,,,,,
F08,,,,,,,,
F09,,,,,,,,
F10,,,,,,,,
F11,,,,,,,,
F12,,,,,,,,
G01,,,,,,,,
G02,,,,,,,,
G03,,,,,,,,
G04,,,,,,,,
G05,,,,,,,,
G06,,,,,,,,
G07,,,,,,,,
G08,,,,,,,,
G09,,,,,,,,
G10,,,,,,,,
G11,,,,,,,,
G12,,,,,,,,
H01,,,,,,,,
H02,,,,,,,,
H03,,,,,,,,
H04,,,,,,,,
H05,,,,,,,,
H06,,,,,,,,
H07,,,,,,,,
H08,,,,,,,,
H09,,,,,,,,
H10,,,,,,,,
H11,,,,,,,,
H12,,,,,,,,
