# Constructed from biom file
#OTU ID	SK-KC2-1-A01	SK-KC2-1-A02	SK-KC2-1-A03	SK-KC2-1-A04	SK-KC2-1-A05	SK-KC2-1-A06	SK-KC2-1-A07	SK-KC2-1-A08	SK-KC2-1-A09	SK-KC2-1-A10	SK-KC2-1-A11	SK-KC2-1-A12	SK-KC2-1-B01	SK-KC2-1-B02	SK-KC2-1-B03	SK-KC2-1-B04	SK-KC2-1-B05	SK-KC2-1-B06	SK-KC2-1-B07	SK-KC2-1-B08	SK-KC2-1-B09	SK-KC2-1-B10	SK-KC2-1-B11	SK-KC2-1-B12	SK-KC2-1-C01	SK-KC2-1-C02	SK-KC2-1-C03	SK-KC2-1-C04	SK-KC2-1-C05	SK-KC2-1-C06	SK-KC2-1-C07	SK-KC2-1-C08	SK-KC2-1-C09	SK-KC2-1-C10	SK-KC2-1-C11	SK-KC2-1-C12	SK-KC2-1-D01	SK-KC2-1-D02	SK-KC2-1-D03	SK-KC2-1-D04	SK-KC2-1-D05	SK-KC2-1-D06	SK-KC2-1-D07	SK-KC2-1-D08	SK-KC2-1-D09	SK-KC2-1-D10	SK-KC2-1-D11	SK-KC2-1-D12	SK-KC2-1-E01	SK-KC2-1-E02	SK-KC2-1-E03	SK-KC2-1-E04	SK-KC2-1-E05	SK-KC2-1-E06	SK-KC2-1-E07	SK-KC2-1-E08	SK-KC2-1-E09	SK-KC2-1-E10	SK-KC2-1-E11	SK-KC2-1-E12	SK-KC2-1-F01	SK-KC2-1-F02	SK-KC2-1-F03	SK-KC2-1-F04	SK-KC2-1-F05	SK-KC2-1-F06	SK-KC2-1-F07	SK-KC2-1-F08	SK-KC2-1-F09	SK-KC2-1-F10	SK-KC2-1-F11	SK-KC2-1-F12	SK-KC2-1-G01	SK-KC2-1-G02	SK-KC2-1-G03	SK-KC2-1-G04	SK-KC2-1-G05	SK-KC2-1-G06	SK-KC2-1-G07	SK-KC2-1-G08	SK-KC2-1-G09	SK-KC2-1-G10	SK-KC2-1-G11	SK-KC2-1-G12	SK-KC2-1-H01	SK-KC2-1-H02	SK-KC2-1-H03	SK-KC2-1-H04	SK-KC2-1-H05	SK-KC2-1-H06	SK-KC2-1-H07	SK-KC2-1-H08	SK-KC2-1-H09	SK-KC2-1-H10	SK-KC2-1-H11	SK-KC2-1-H12	SK-KC2-2-A01	SK-KC2-2-A02	SK-KC2-2-A03	SK-KC2-2-A04	SK-KC2-2-A05	SK-KC2-2-A06	SK-KC2-2-A07	SK-KC2-2-A08	SK-KC2-2-A09	SK-KC2-2-A10	SK-KC2-2-A11	SK-KC2-2-A12	SK-KC2-2-B01	SK-KC2-2-B02	SK-KC2-2-B03	SK-KC2-2-B04	SK-KC2-2-B05	SK-KC2-2-B06	SK-KC2-2-B07	SK-KC2-2-B08	SK-KC2-2-B09	SK-KC2-2-B10	SK-KC2-2-B11	SK-KC2-2-B12	SK-KC2-2-C01	SK-KC2-2-C02	SK-KC2-2-C03	SK-KC2-2-C04	SK-KC2-2-C05	SK-KC2-2-C06	SK-KC2-2-C07	SK-KC2-2-C08	SK-KC2-2-C09	SK-KC2-2-C10	SK-KC2-2-C11	SK-KC2-2-C12	SK-KC2-2-D01	SK-KC2-2-D02	SK-KC2-2-D03	SK-KC2-2-D04	SK-KC2-2-D05	SK-KC2-2-D06	SK-KC2-2-D07	SK-KC2-2-D08	SK-KC2-2-D09	SK-KC2-2-D10	SK-KC2-2-D11	SK-KC2-2-D12	SK-KC2-2-E01	SK-KC2-2-E02	SK-KC2-2-E03	SK-KC2-2-E04	SK-KC2-2-E05	SK-KC2-2-E06	SK-KC2-2-E07	SK-KC2-2-E08	SK-KC2-2-E09	SK-KC2-2-E10	SK-KC2-2-E11	SK-KC2-2-E12	SK-KC2-2-F01	SK-KC2-2-F02	SK-KC2-2-F03	SK-KC2-2-F04	SK-KC2-2-F05	SK-KC2-2-F06	SK-KC2-2-F07	SK-KC2-2-F08	SK-KC2-2-F09	SK-KC2-2-F10	SK-KC2-2-F11	SK-KC2-2-F12	SK-KC2-2-G01	SK-KC2-2-G02	SK-KC2-2-G03	SK-KC2-2-G04	SK-KC2-2-G05	SK-KC2-2-G06	SK-KC2-2-G07	SK-KC2-2-G08	SK-KC2-2-G09	SK-KC2-2-G10	SK-KC2-2-G11	SK-KC2-2-G12	SK-KC2-2-H01	SK-KC2-2-H02	SK-KC2-2-H03	SK-KC2-2-H04	SK-KC2-2-H05	SK-KC2-2-H06	SK-KC2-2-H07	SK-KC2-2-H08	SK-KC2-2-H09	SK-KC2-2-H10	SK-KC2-2-H11	SK-KC2-2-H12	Undetermined	taxonomy
a76c8832b981071fe2365f331a94e719	57802.0	18427.0	427.0	29181.0	43063.0	55032.0	33265.0	21684.0	30815.0	25956.0	16869.0	7019.0	37008.0	12505.0	32838.0	15715.0	28266.0	35132.0	38205.0	16044.0	26685.0	29214.0	36595.0	43093.0	52260.0	17732.0	40675.0	9845.0	29483.0	42302.0	47920.0	26197.0	41116.0	45938.0	36841.0	50946.0	49473.0	11844.0	36389.0	435.0	620.0	685.0	30269.0	12807.0	25016.0	51528.0	50629.0	70143.0	22097.0	9254.0	122.0	6580.0	31575.0	40389.0	255.0	140.0	208.0	664.0	487.0	489.0	25756.0	13682.0	28804.0	12689.0	26947.0	19621.0	33342.0	11431.0	28807.0	25435.0	27904.0	35752.0	22712.0	8377.0	23046.0	8288.0	16799.0	20901.0	25682.0	10523.0	17075.0	15816.0	14346.0	20188.0	40145.0	12029.0	45022.0	396.0	583.0	576.0	14736.0	9796.0	8005.0	47162.0	53636.0	54927.0	57261.0	37150.0	537.0	42733.0	38712.0	49406.0	82066.0	12784.0	50678.0	33928.0	17493.0	8458.0	44212.0	19353.0	46360.0	26407.0	27584.0	40574.0	19709.0	24344.0	2154.0	62709.0	60608.0	73937.0	52113.0	36655.0	42185.0	55311.0	46919.0	62273.0	47785.0	23913.0	53458.0	62605.0	42063.0	46359.0	41493.0	15761.0	41005.0	17383.0	12782.0	17482.0	37444.0	25846.0	45166.0	59831.0	46937.0	49363.0	44617.0	26800.0	176.0	502.0	683.0	683.0	776.0	752.0	405.0	606.0	205.0	805.0	44251.0	26284.0	38798.0	29968.0	13935.0	39584.0	23937.0	17614.0	31264.0	40278.0	36974.0	45686.0	14172.0	10040.0	35425.0	22870.0	20876.0	33452.0	21532.0	18372.0	33805.0	37479.0	41897.0	22469.0	23848.0	8317.0	31417.0	3708.0	3249.0	3381.0	592.0	31833.0	38023.0	62457.0	76148.0	90775.0	615371.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
3a75c1d4a402a0262cdbb0a21d833c39	30598.0	13602.0	152.0	649.0	1815.0	5719.0	4783.0	7562.0	21199.0	25822.0	40775.0	55436.0	20959.0	6949.0	18773.0	8599.0	16905.0	22586.0	22642.0	10778.0	20001.0	15368.0	19685.0	20785.0	30921.0	11688.0	30376.0	5890.0	20797.0	32897.0	32771.0	17416.0	28753.0	30516.0	34205.0	36738.0	3265.0	808.0	3197.0	11849.0	32279.0	45322.0	22938.0	10128.0	26062.0	14426.0	13575.0	16229.0	30118.0	13640.0	162.0	2156.0	12310.0	10520.0	64576.0	22875.0	44354.0	42801.0	50994.0	56292.0	31923.0	17171.0	36706.0	16826.0	34124.0	40293.0	52310.0	21639.0	70001.0	34353.0	28096.0	33470.0	33075.0	12800.0	30047.0	12200.0	27760.0	39706.0	45045.0	19499.0	36141.0	29902.0	32981.0	33646.0	655.0	210.0	273.0	17369.0	43464.0	46402.0	19639.0	12154.0	36039.0	24969.0	28819.0	23376.0	3186.0	3663.0	105.0	500.0	778.0	2012.0	27417.0	1336.0	14028.0	13695.0	17695.0	31564.0	2654.0	1437.0	3783.0	2283.0	2260.0	3265.0	1181.0	2427.0	306.0	4819.0	2668.0	3586.0	3667.0	3369.0	2937.0	5315.0	4137.0	6233.0	4040.0	1835.0	7117.0	6270.0	3137.0	2828.0	5920.0	2337.0	4890.0	21371.0	15041.0	30407.0	3017.0	3558.0	10287.0	9550.0	36264.0	5824.0	6615.0	5665.0	106.0	24932.0	25935.0	30081.0	19664.0	13757.0	25818.0	23442.0	216.0	28899.0	5931.0	4580.0	7917.0	4440.0	2166.0	6276.0	3047.0	2705.0	5403.0	5142.0	3743.0	4160.0	2706.0	1640.0	6175.0	3961.0	3126.0	5018.0	2855.0	2365.0	5605.0	6571.0	6082.0	3357.0	2590.0	1235.0	1390.0	43811.0	48814.0	72982.0	217.0	26868.0	41381.0	13204.0	17699.0	29076.0	298632.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
7792f6269a32033f0e7de9e9d1618a67	5681.0	1740.0	0.0	3801.0	5830.0	7449.0	4507.0	3183.0	4366.0	3550.0	2584.0	1086.0	3034.0	1013.0	2433.0	1126.0	2106.0	2656.0	2767.0	1191.0	2013.0	1976.0	2901.0	3744.0	4754.0	1502.0	3417.0	830.0	2482.0	3254.0	3447.0	1996.0	2992.0	3394.0	2966.0	4363.0	0.0	0.0	0.0	0.0	0.0	0.0	2165.0	956.0	1852.0	0.0	0.0	0.0	2303.0	790.0	0.0	727.0	2967.0	3435.0	0.0	0.0	0.0	105.0	0.0	0.0	2378.0	1098.0	2214.0	929.0	2263.0	1461.0	2566.0	1066.0	2097.0	1861.0	2054.0	3206.0	2217.0	815.0	2053.0	627.0	1465.0	1698.0	2183.0	842.0	1518.0	1317.0	1217.0	1973.0	0.0	0.0	0.0	0.0	0.0	0.0	1350.0	932.0	730.0	0.0	0.0	0.0	6292.0	3894.0	0.0	6155.0	5586.0	6783.0	11829.0	1769.0	7633.0	5233.0	2999.0	1383.0	4808.0	2147.0	4254.0	2622.0	2655.0	3670.0	2017.0	2145.0	0.0	5724.0	6016.0	8367.0	5927.0	3604.0	4480.0	5149.0	4440.0	5536.0	4437.0	1976.0	4956.0	5355.0	3913.0	4916.0	946.0	0.0	0.0	1809.0	1370.0	1717.0	3183.0	2137.0	3770.0	0.0	0.0	0.0	5223.0	3182.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4516.0	2360.0	3458.0	3451.0	1756.0	4414.0	2613.0	2139.0	3308.0	4606.0	3937.0	5679.0	1451.0	1223.0	3389.0	2837.0	2495.0	4021.0	2776.0	2176.0	3696.0	4153.0	5149.0	3174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34359.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
08cae00c9932122a2f556701fa09be36	2860.0	1339.0	0.0	0.0	309.0	886.0	714.0	1184.0	3007.0	3635.0	5888.0	8672.0	1920.0	637.0	1472.0	649.0	1357.0	1733.0	1657.0	847.0	1344.0	1063.0	1642.0	1681.0	2930.0	1000.0	2478.0	648.0	1668.0	2367.0	2574.0	1286.0	2410.0	2455.0	2746.0	3302.0	0.0	0.0	0.0	981.0	2997.0	3485.0	1534.0	711.0	2067.0	0.0	0.0	0.0	2760.0	1209.0	0.0	321.0	1111.0	1052.0	5169.0	2802.0	5148.0	5074.0	5854.0	6955.0	2811.0	1521.0	2823.0	1341.0	2768.0	3117.0	3872.0	1557.0	4959.0	2629.0	2089.0	2995.0	3332.0	1287.0	2712.0	968.0	2483.0	3335.0	3398.0	1653.0	2697.0	2339.0	2764.0	3474.0	0.0	0.0	0.0	1659.0	3995.0	4093.0	1818.0	1154.0	3184.0	0.0	0.0	0.0	455.0	536.0	0.0	0.0	0.0	282.0	4638.0	214.0	2084.0	2214.0	2877.0	5212.0	394.0	223.0	429.0	305.0	280.0	389.0	140.0	225.0	0.0	556.0	367.0	448.0	490.0	441.0	408.0	546.0	517.0	651.0	480.0	228.0	708.0	628.0	390.0	320.0	0.0	0.0	0.0	2112.0	1391.0	2596.0	375.0	413.0	946.0	0.0	4331.0	0.0	777.0	772.0	0.0	3418.0	3392.0	3802.0	2617.0	1895.0	3661.0	3356.0	0.0	4469.0	671.0	502.0	765.0	536.0	323.0	729.0	360.0	407.0	605.0	586.0	485.0	632.0	295.0	161.0	642.0	542.0	361.0	605.0	405.0	350.0	671.0	758.0	828.0	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21298.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
c9d10a764a0e19e8d12281c892480304	3067.0	989.0	0.0	1782.0	2533.0	2831.0	1813.0	1212.0	1677.0	1405.0	910.0	0.0	1729.0	699.0	1940.0	854.0	1427.0	1737.0	2017.0	845.0	1394.0	1619.0	1774.0	2072.0	2774.0	947.0	2285.0	583.0	1647.0	2061.0	2316.0	1457.0	2179.0	2554.0	1991.0	2503.0	1712.0	0.0	1357.0	0.0	0.0	0.0	1360.0	630.0	1305.0	2006.0	2104.0	2651.0	1069.0	514.0	0.0	0.0	1706.0	2063.0	0.0	0.0	0.0	0.0	0.0	0.0	1314.0	813.0	1574.0	652.0	1356.0	862.0	1671.0	0.0	1345.0	1295.0	1308.0	1652.0	1173.0	465.0	1160.0	0.0	859.0	1061.0	1346.0	0.0	817.0	732.0	654.0	896.0	1511.0	515.0	1670.0	0.0	0.0	0.0	676.0	461.0	334.0	2316.0	2274.0	2080.0	3306.0	2194.0	0.0	2806.0	2559.0	3138.0	8387.0	894.0	3398.0	2143.0	1024.0	0.0	2766.0	1207.0	2809.0	1519.0	1603.0	2470.0	1134.0	1496.0	0.0	3925.0	3811.0	4681.0	3222.0	2366.0	2764.0	3666.0	2817.0	3828.0	3069.0	1600.0	3376.0	4185.0	2733.0	3178.0	1939.0	0.0	1842.0	1080.0	706.0	865.0	2139.0	1542.0	2835.0	2981.0	2344.0	2689.0	2613.0	1719.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2503.0	1702.0	2389.0	1896.0	794.0	2278.0	1405.0	1005.0	1862.0	2642.0	2174.0	2565.0	815.0	567.0	2272.0	1451.0	1321.0	1928.0	1367.0	1228.0	2150.0	2242.0	2558.0	1289.0	1088.0	0.0	1493.0	0.0	0.0	0.0	0.0	1820.0	2281.0	3464.0	4060.0	5525.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
6a67b25cec72d7bb738c65fbe9503818	1511.0	903.0	0.0	1429.0	1233.0	1521.0	1624.0	1172.0	902.0	1215.0	851.0	0.0	1433.0	519.0	1362.0	751.0	1198.0	1467.0	1642.0	737.0	1185.0	1201.0	1391.0	1571.0	1436.0	828.0	1734.0	764.0	1122.0	1231.0	1593.0	1253.0	898.0	1134.0	1715.0	1297.0	1862.0	464.0	1533.0	0.0	0.0	0.0	1636.0	725.0	1265.0	1324.0	1291.0	1998.0	990.0	468.0	0.0	0.0	1259.0	1848.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	685.0	1112.0	573.0	716.0	942.0	1430.0	524.0	1089.0	927.0	1214.0	944.0	920.0	409.0	1002.0	373.0	717.0	920.0	981.0	414.0	808.0	705.0	594.0	896.0	1222.0	402.0	1277.0	0.0	0.0	0.0	665.0	417.0	375.0	1277.0	1592.0	1352.0	1578.0	1072.0	0.0	1270.0	1155.0	1476.0	1856.0	686.0	1616.0	1063.0	933.0	0.0	1320.0	951.0	1159.0	785.0	1187.0	1114.0	598.0	955.0	106.0	1678.0	1455.0	1827.0	1469.0	1127.0	1220.0	1385.0	1407.0	1697.0	1375.0	1010.0	1545.0	1633.0	1238.0	1529.0	1323.0	634.0	1415.0	885.0	1078.0	919.0	1248.0	1216.0	1563.0	1721.0	1393.0	1280.0	1068.0	1263.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1322.0	1165.0	1131.0	896.0	654.0	1138.0	719.0	879.0	1420.0	1180.0	1028.0	1188.0	645.0	499.0	1039.0	688.0	576.0	859.0	608.0	831.0	989.0	1146.0	1269.0	725.0	863.0	584.0	1089.0	0.0	0.0	167.0	0.0	945.0	897.0	1671.0	1175.0	1475.0	26165.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
027b16349cc56c070127180fbdc60f51	1457.0	736.0	0.0	0.0	0.0	320.0	272.0	0.0	1103.0	1381.0	2022.0	2662.0	1009.0	335.0	991.0	416.0	856.0	1177.0	1035.0	576.0	901.0	713.0	980.0	996.0	1597.0	638.0	1617.0	281.0	1166.0	1603.0	1697.0	877.0	1577.0	1518.0	1712.0	1698.0	0.0	0.0	0.0	447.0	1425.0	1911.0	942.0	457.0	1299.0	540.0	572.0	578.0	1464.0	709.0	0.0	0.0	655.0	0.0	3025.0	1164.0	2289.0	2164.0	2482.0	2551.0	1496.0	803.0	1918.0	780.0	1607.0	1792.0	2409.0	986.0	3320.0	1624.0	1208.0	1537.0	1643.0	626.0	1503.0	599.0	1259.0	1844.0	2013.0	1024.0	1717.0	1395.0	1515.0	1391.0	0.0	0.0	0.0	801.0	1959.0	2115.0	841.0	543.0	1642.0	1004.0	1059.0	916.0	177.0	0.0	0.0	0.0	0.0	0.0	3735.0	0.0	827.0	802.0	942.0	1730.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	361.0	165.0	228.0	192.0	235.0	201.0	390.0	242.0	368.0	260.0	151.0	465.0	404.0	181.0	173.0	0.0	0.0	219.0	1257.0	826.0	1603.0	193.0	0.0	667.0	522.0	3352.0	309.0	355.0	311.0	0.0	1390.0	1432.0	1658.0	1099.0	762.0	1456.0	1182.0	0.0	1554.0	0.0	281.0	542.0	254.0	0.0	317.0	0.0	0.0	0.0	0.0	219.0	250.0	0.0	0.0	373.0	216.0	0.0	230.0	0.0	160.0	336.0	386.0	394.0	213.0	0.0	0.0	0.0	2322.0	2690.0	3926.0	0.0	1522.0	2378.0	691.0	990.0	1694.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
a86c758b80b46d4d3ef2f85124275a30	850.0	613.0	0.0	28.0	0.0	301.0	278.0	355.0	926.0	1243.0	1109.0	1719.0	900.0	366.0	889.0	410.0	787.0	1042.0	931.0	517.0	853.0	692.0	987.0	914.0	886.0	602.0	1441.0	598.0	956.0	1357.0	1316.0	849.0	1113.0	1223.0	1491.0	1031.0	167.0	0.0	212.0	561.0	1515.0	1549.0	1271.0	668.0	1252.0	0.0	578.0	546.0	1276.0	718.0	0.0	0.0	617.0	493.0	1812.0	1216.0	1363.0	1356.0	1471.0	1683.0	1257.0	806.0	1324.0	724.0	985.0	1722.0	1368.0	1039.0	1178.0	1363.0	991.0	881.0	957.0	589.0	927.0	522.0	671.0	995.0	1248.0	936.0	952.0	1146.0	1346.0	991.0	0.0	0.0	0.0	816.0	1313.0	1379.0	956.0	638.0	967.0	807.0	895.0	802.0	178.0	167.0	0.0	0.0	0.0	115.0	0.0	0.0	696.0	695.0	840.0	885.0	143.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	194.0	0.0	145.0	162.0	280.0	0.0	345.0	202.0	0.0	353.0	305.0	173.0	0.0	0.0	105.0	194.0	1094.0	1046.0	1207.0	223.0	234.0	536.0	447.0	1234.0	307.0	374.0	0.0	19.0	1338.0	1470.0	1006.0	659.0	697.0	1246.0	775.0	0.0	976.0	272.0	219.0	405.0	212.0	126.0	312.0	0.0	0.0	292.0	0.0	0.0	219.0	118.0	0.0	316.0	188.0	148.0	0.0	148.0	135.0	0.0	365.0	338.0	182.0	103.0	137.0	62.0	1329.0	1480.0	1374.0	0.0	817.0	1145.0	490.0	657.0	1108.0	19922.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
b1215fea8888a1ace9d34d8ec08ab58f	1108.0	378.0	0.0	1203.0	1620.0	2143.0	1388.0	965.0	1424.0	1269.0	861.0	350.0	637.0	210.0	483.0	223.0	339.0	463.0	410.0	246.0	292.0	379.0	532.0	592.0	934.0	286.0	675.0	209.0	421.0	507.0	605.0	286.0	512.0	671.0	585.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	153.0	332.0	0.0	0.0	0.0	455.0	204.0	0.0	132.0	564.0	586.0	0.0	0.0	0.0	0.0	0.0	0.0	496.0	245.0	423.0	171.0	359.0	278.0	353.0	0.0	352.0	366.0	354.0	544.0	466.0	144.0	394.0	140.0	239.0	240.0	331.0	137.0	229.0	235.0	210.0	458.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	156.0	138.0	0.0	0.0	0.0	1271.0	858.0	0.0	1695.0	1586.0	1798.0	3189.0	553.0	2201.0	1599.0	864.0	423.0	965.0	382.0	954.0	400.0	481.0	603.0	357.0	367.0	0.0	1089.0	1189.0	1592.0	1324.0	710.0	875.0	1027.0	878.0	948.0	755.0	375.0	914.0	1091.0	701.0	1014.0	0.0	0.0	0.0	332.0	213.0	268.0	561.0	377.0	647.0	0.0	0.0	0.0	1091.0	541.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	911.0	428.0	587.0	814.0	321.0	827.0	568.0	429.0	747.0	1066.0	938.0	1293.0	235.0	0.0	663.0	565.0	602.0	762.0	637.0	474.0	911.0	1043.0	1179.0	734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
e4dc04b3f03d421aef2f3855c83b7b50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44686.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
