Testname: KC_NO2NO3_SCAN
Date: 6/23/2022  Time: 8:48:30 PM
ID1: CRM_predict_20220623_1212  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.131,   0.073
A02:   0.129,   0.072
A03:   0.128,   0.071
A04:   0.123,   0.070
A05:   0.129,   0.070
A06:   0.126,   0.068
A07:   0.122,   0.067
A08:   0.137,   0.075
A09:   0.127,   0.070
A10:   0.133,   0.071
A11:   0.131,   0.071
A12:   0.130,   0.069
B01:   0.129,   0.069
B02:   0.131,   0.070
B03:   0.125,   0.068
B04:   0.126,   0.068
B05:   0.123,   0.066
B06:   0.124,   0.066
B07:   0.127,   0.065
B08:   0.124,   0.065
B09:   0.125,   0.066
B10:   0.126,   0.068
B11:   0.129,   0.071
B12:   0.129,   0.068
C01:   0.122,   0.065
C02:   0.122,   0.064
C03:   0.120,   0.063
C04:   0.123,   0.068
C05:   0.124,   0.067
C06:   0.124,   0.066
C07:   0.994,   0.066
C08:   1.167,   0.066
C09:   1.061,   0.066
C10:   2.869,   0.066
C11:   2.826,   0.069
C12:   2.851,   0.070
D01:   0.125,   0.070
D02:   0.122,   0.067
D03:   0.117,   0.066
D04:   0.118,   0.067
D05:   0.120,   0.067
D06:   0.120,   0.066
D07:   1.104,   0.066
D08:   0.121,   0.066
D09:   0.569,   0.067
D10:   2.587,   0.068
D11:   2.457,   0.071
D12:   2.382,   0.068
E01:   3.564,   0.066
E02:   3.784,   0.069
E03:   3.723,   0.068
E04:   3.348,   0.068
E05:   3.327,   0.070
E06:   3.338,   0.068
E07:   2.665,   0.070
E08:   2.875,   0.068
E09:   2.870,   0.066
E10:   0.700,   0.066
E11:   0.817,   0.067
E12:   0.907,   0.064
F01:   3.307,   0.066
F02:   3.483,   0.069
F03:   3.515,   0.069
F04:   3.146,   0.071
F05:   3.197,   0.070
F06:   3.276,   0.070
F07:   0.122,   0.068
F08:   0.125,   0.067
F09:   1.041,   0.068
F10:   0.124,   0.069
F11:   0.125,   0.067
F12:   0.123,   0.066
G01:   4.184,   0.067
G02:   4.418,   0.066
G03:   4.280,   0.067
G04:   4.054,   0.066
G05:   3.924,   0.068
G06:   4.061,   0.069
G07:   4.128,   0.067
G08:   4.079,   0.067
G09:   4.204,   0.068
G10:   3.747,   0.068
G11:   3.685,   0.068
G12:   3.684,   0.067
H01:   0.126,   0.069
H02:   0.128,   0.071
H03:   0.121,   0.066
H04:   0.128,   0.072
H05:   0.120,   0.068
H06:   0.124,   0.068
H07:   3.413,   0.069
H08:   3.444,   0.065
H09:   3.425,   0.068
H10:   0.125,   0.065
H11:   0.120,   0.065
H12:   0.125,   0.063

