Testname: KC_NO2NO3_SCAN
Date: 6/23/2022  Time: 8:11:14 PM
ID1: CRM_predict_cycle2_t1_20220620_1535  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.692,   0.068
A02:   2.598,   0.067
A03:   2.646,   0.070
A04:   1.476,   0.068
A05:   1.503,   0.078
A06:   1.472,   0.069
A07:   2.290,   0.290
A08:   2.077,   0.067
A09:   2.070,   0.068
A10:   2.429,   0.068
A11:   2.442,   0.066
A12:   2.530,   0.068
B01:   2.619,   0.068
B02:   2.681,   0.068
B03:   2.734,   0.066
B04:   1.533,   0.065
B05:   1.530,   0.068
B06:   1.489,   0.063
B07:   2.070,   0.063
B08:   2.095,   0.066
B09:   2.117,   0.067
B10:   2.446,   0.068
B11:   2.526,   0.068
B12:   2.518,   0.068
C01:   2.505,   0.070
C02:   2.614,   0.067
C03:   2.572,   0.068
C04:   1.512,   0.070
C05:   1.543,   0.070
C06:   1.481,   0.068
C07:   2.087,   0.067
C08:   2.011,   0.069
C09:   2.049,   0.068
C10:   2.680,   0.068
C11:   2.362,   0.067
C12:   1.996,   0.070
D01:   2.520,   0.066
D02:   2.628,   0.070
D03:   2.559,   0.073
D04:   1.476,   0.065
D05:   1.502,   0.070
D06:   1.488,   0.070
D07:   2.023,   0.068
D08:   1.992,   0.066
D09:   2.045,   0.068
D10:   2.683,   0.068
D11:   2.553,   0.072
D12:   2.579,   0.067
E01:   3.574,   0.065
E02:   3.529,   0.070
E03:   3.562,   0.068
E04:   3.249,   0.068
E05:   3.314,   0.073
E06:   3.335,   0.069
E07:   3.178,   0.070
E08:   3.051,   0.068
E09:   3.059,   0.068
E10:   2.931,   0.069
E11:   2.949,   0.068
E12:   2.916,   0.069
F01:   3.213,   0.066
F02:   3.521,   0.068
F03:   3.594,   0.072
F04:   3.342,   0.067
F05:   3.379,   0.073
F06:   3.275,   0.072
F07:   3.122,   0.070
F08:   3.214,   0.071
F09:   3.210,   0.071
F10:   2.902,   0.070
F11:   2.875,   0.067
F12:   2.930,   0.066
G01:   4.083,   0.064
G02:   4.057,   0.065
G03:   3.670,   0.068
G04:   3.802,   0.068
G05:   3.806,   0.069
G06:   3.251,   0.066
G07:   3.726,   0.064
G08:   3.988,   0.070
G09:   3.647,   0.067
G10:   3.345,   0.068
G11:   3.713,   0.066
G12:   3.493,   0.067
H01:   2.693,   0.067
H02:   2.638,   0.065
H03:   2.703,   0.066
H04:   2.722,   0.069
H05:   2.635,   0.082
H06:   2.610,   0.070
H07:   3.016,   0.065
H08:   3.044,   0.067
H09:   2.928,   0.066
H10:   0.126,   0.064
H11:   0.127,   0.065
H12:   0.125,   0.065

