Testname: KC_NO2NO3_SCAN
Date: 6/23/2022  Time: 8:06:55 PM
ID1: standard_20220623  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.674,   0.068
A02:   2.924,   0.072
A03:   2.927,   0.069
A04:   3.148,   0.068
A05:   3.462,   0.067
A06:   3.463,   0.068
A07:   0.060,   0.051
A08:   0.060,   0.050
A09:   0.060,   0.050
A10:   0.061,   0.052
A11:   0.060,   0.051
A12:   0.061,   0.052
B01:   1.648,   0.062
B02:   1.654,   0.062
B03:   1.666,   0.063
B04:   1.928,   0.063
B05:   1.946,   0.065
B06:   1.951,   0.063
B07:   0.060,   0.047
B08:   0.060,   0.048
B09:   0.059,   0.049
B10:   0.060,   0.048
B11:   0.061,   0.048
B12:   0.061,   0.051
C01:   1.197,   0.311
C02:   0.868,   0.065
C03:   0.929,   0.064
C04:   1.079,   0.066
C05:   1.079,   0.064
C06:   1.069,   0.066
C07:   0.060,   0.048
C08:   0.061,   0.049
C09:   0.060,   0.049
C10:   0.060,   0.049
C11:   0.060,   0.048
C12:   0.061,   0.052
D01:   0.535,   0.064
D02:   0.521,   0.064
D03:   0.540,   0.065
D04:   0.594,   0.066
D05:   0.603,   0.066
D06:   0.598,   0.064
D07:   0.060,   0.050
D08:   0.060,   0.050
D09:   0.061,   0.050
D10:   0.060,   0.049
D11:   0.061,   0.050
D12:   0.061,   0.050
E01:   0.340,   0.065
E02:   0.347,   0.066
E03:   0.348,   0.065
E04:   0.347,   0.061
E05:   0.346,   0.065
E06:   0.349,   0.065
E07:   0.062,   0.051
E08:   0.060,   0.050
E09:   0.061,   0.049
E10:   0.061,   0.050
E11:   0.061,   0.051
E12:   0.060,   0.049
F01:   0.242,   0.065
F02:   0.239,   0.066
F03:   0.239,   0.065
F04:   0.250,   0.076
F05:   0.239,   0.063
F06:   0.230,   0.065
F07:   0.061,   0.051
F08:   0.060,   0.050
F09:   0.063,   0.050
F10:   0.061,   0.051
F11:   0.061,   0.049
F12:   0.060,   0.049
G01:   0.189,   0.063
G02:   0.185,   0.065
G03:   0.181,   0.063
G04:   0.182,   0.064
G05:   0.179,   0.063
G06:   0.215,   0.083
G07:   0.060,   0.048
G08:   0.070,   0.059
G09:   0.061,   0.049
G10:   0.060,   0.049
G11:   0.061,   0.047
G12:   0.062,   0.047
H01:   0.130,   0.065
H02:   0.130,   0.065
H03:   0.130,   0.062
H04:   0.131,   0.063
H05:   0.130,   0.065
H06:   0.131,   0.065
H07:   0.061,   0.048
H08:   0.061,   0.049
H09:   0.069,   0.059
H10:   0.062,   0.049
H11:   0.068,   0.052
H12:   0.063,   0.051

