Testname: KC_OD600_Greiner
Date: 6/20/2022  Time: 1:28:03 PM
ID1: CRM_predict_cycle1_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .072200
A02:   .072500
A03:   .071900
A04:   .076000
A05:   .072000
A06:   .073400
A07:   .073800
A08:   .077800
A09:   .078100
A10:   .078800
A11:   .076300
A12:   .081300
B01:   .101900
B02:   .104000
B03:   .103900
B04:   .108100
B05:   .102700
B06:   .102300
B07:   .106900
B08:   .106700
B09:   .108800
B10:   .108000
B11:   .108200
B12:   .101700
C01:   .047900
C02:   .048800
C03:   .048700
C04:   .047800
C05:   .048300
C06:   .049600
C07:   .048500
C08:   .048500
C09:   .048400
C10:   .049000
C11:   .051400
C12:   .048600
D01:   .048700
D02:   .048400
D03:   .048100
D04:   .049000
D05:   .050700
D06:   .048900
D07:   .048600
D08:   .049200
D09:   .050000
D10:   .048700
D11:   .048400
D12:   .049100
E01:   .083600
E02:   .085500
E03:   .086900
E04:   .089700
E05:   .087100
E06:   .086800
E07:   .088000
E08:   .087300
E09:   .088400
E10:   .090000
E11:   .090400
E12:   .088600
F01:   .091900
F02:   .091900
F03:   .095100
F04:   .097400
F05:   .093100
F06:   .094800
F07:   .092400
F08:   .094000
F09:   .101600
F10:   .098200
F11:   .094700
F12:   .092900
G01:   .033700
G02:   .033000
G03:   .034000
G04:   .033800
G05:   .033900
G06:   .033300
G07:   .033900
G08:   .034100
G09:   .033400
G10:   .033300
G11:   .033900
G12:   .033800
H01:   .033800
H02:   .033700
H03:   .033800
H04:   .033600
H05:   .033800
H06:   .034500
H07:   .047900
H08:   .048000
H09:   .049400
H10:   .048200
H11:   .048200
H12:   .048100

