Testname: KC_OD600_Greiner
Date: 6/20/2022  Time: 1:34:59 PM
ID1: CRM_predict_cycle1_endpoint_calc  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .071500
A02:   .073000
A03:   .070100
A04:   .073600
A05:   .071400
A06:   .069700
A07:   .071700
A08:   .078000
A09:   .074600
A10:   .076300
A11:   .075400
A12:   .074600
B01:   .101300
B02:   .103800
B03:   .102900
B04:   .107700
B05:   .102800
B06:   .102300
B07:   .105500
B08:   .106400
B09:   .108800
B10:   .107400
B11:   .107700
B12:   .102600
C01:         -
C02:         -
C03:         -
C04:         -
C05:         -
C06:         -
C07:         -
C08:         -
C09:         -
C10:         -
C11:         -
C12:         -
D01:         -
D02:         -
D03:         -
D04:         -
D05:         -
D06:         -
D07:         -
D08:         -
D09:         -
D10:         -
D11:         -
D12:         -
E01:   .083600
E02:   .085800
E03:   .086900
E04:   .090500
E05:   .086100
E06:   .087300
E07:   .086600
E08:   .086900
E09:   .088500
E10:   .089100
E11:   .089300
E12:   .089500
F01:   .090400
F02:   .091000
F03:   .093900
F04:   .096700
F05:   .092500
F06:   .093500
F07:   .091500
F08:   .092000
F09:   .100100
F10:   .097400
F11:   .093900
F12:   .092100
G01:   .033200
G02:   .032800
G03:   .034100
G04:   .034000
G05:   .033600
G06:   .033300
G07:   .033500
G08:   .034100
G09:   .033400
G10:   .032900
G11:   .033900
G12:   .033600
H01:   .033700
H02:   .033400
H03:   .033700
H04:   .033400
H05:   .033500
H06:   .034500
H07:   .047500
H08:   .047600
H09:   .048700
H10:   .047300
H11:   .047800
H12:   .047700

