Testname: KC_OD600_Greiner
Date: 6/23/2022  Time: 12:28:09 PM
ID1: CRM_predict_cycle2_OD_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .118600
A02:   .118100
A03:   .119700
A04:   .083800
A05:   .083400
A06:   .084500
A07:   .096600
A08:   .094300
A09:   .091500
A10:   .093400
A11:   .093800
A12:   .093800
B01:   .130600
B02:   .138600
B03:   .139900
B04:   .091300
B05:   .090500
B06:   .091300
B07:   .105200
B08:   .105500
B09:   .105200
B10:   .112100
B11:   .106200
B12:   .106500
C01:   .057600
C02:   .057800
C03:   .056500
C04:   .076300
C05:   .076200
C06:   .086400
C07:   .049200
C08:   .049200
C09:   .048200
C10:   .039100
C11:   .039100
C12:   .039000
D01:   .144400
D02:   .148000
D03:   .147800
D04:   .090600
D05:   .091400
D06:   .089500
D07:   .062000
D08:   .095400
D09:   .082600
D10:   .045000
D11:   .045400
D12:   .046800
E01:   .039800
E02:   .043300
E03:   .040300
E04:   .044800
E05:   .048600
E06:   .049500
E07:   .063900
E08:   .074700
E09:   .061200
E10:   .066800
E11:   .060100
E12:   .051400
F01:   .047500
F02:   .047700
F03:   .048900
F04:   .049800
F05:   .049200
F06:   .049600
F07:   .170000
F08:   .154600
F09:   .123600
F10:   .137800
F11:   .136800
F12:   .131000
G01:   .038300
G02:   .038200
G03:   .038900
G04:   .039300
G05:   .039700
G06:   .038700
G07:   .045600
G08:   .045100
G09:   .044700
G10:   .044400
G11:   .047100
G12:   .044500
H01:   .135800
H02:   .137300
H03:   .140400
H04:   .101900
H05:   .103300
H06:   .100000
H07:   .034600
H08:   .042600
H09:   .034800
H10:   .052400
H11:   .039200
H12:   .038500

