,NO3,NO2
A01,1.75,0
A02,1.75,0
A03,1.75,0
A04,0.875,0
A05,0.875,0
A06,0.875,0
A07,0.875,0.4375
A08,0.875,0.4375
A09,0.875,0.4375
A10,0.4375,1.3125
A11,0.4375,1.3125
A12,0.4375,1.3125
B01,1.75,0
B02,1.75,0
B03,1.75,0
B04,0.875,0
B05,0.875,0
B06,0.875,0
B07,0.875,0.4375
B08,0.875,0.4375
B09,0.875,0.4375
B10,0.4375,1.3125
B11,0.4375,1.3125
B12,0.4375,1.3125
C01,1.75,0
C02,1.75,0
C03,1.75,0
C04,0.875,0
C05,0.875,0
C06,0.875,0
C07,0.875,0.4375
C08,0.875,0.4375
C09,0.875,0.4375
C10,0.4375,1.3125
C11,0.4375,1.3125
C12,0.4375,1.3125
D01,1.75,0
D02,1.75,0
D03,1.75,0
D04,0.875,0
D05,0.875,0
D06,0.875,0
D07,0.875,0.4375
D08,0.875,0.4375
D09,0.875,0.4375
D10,0.4375,1.3125
D11,0.4375,1.3125
D12,0.4375,1.3125
E01,1.75,0.7
E02,1.75,0.7
E03,1.75,0.7
E04,1.75,0.525
E05,1.75,0.525
E06,1.75,0.525
E07,1.75,0.35
E08,1.75,0.35
E09,1.75,0.35
E10,1.75,0.175
E11,1.75,0.175
E12,1.75,0.175
F01,1.75,0.7
F02,1.75,0.7
F03,1.75,0.7
F04,1.75,0.525
F05,1.75,0.525
F06,1.75,0.525
F07,1.75,0.35
F08,1.75,0.35
F09,1.75,0.35
F10,1.75,0.175
F11,1.75,0.175
F12,1.75,0.175
G01,1.75,1.05
G02,1.75,1.05
G03,1.75,1.05
G04,1.75,0.875
G05,1.75,0.875
G06,1.75,0.875
G07,1.75,1.05
G08,1.75,1.05
G09,1.75,1.05
G10,1.75,0.875
G11,1.75,0.875
G12,1.75,0.875
H01,1.75,0
H02,1.75,0
H03,1.75,0
H04,1.75,0
H05,1.75,0
H06,1.75,0
H07,1.75,0
H08,1.75,0
H09,1.75,0
H10,0,0
H11,0,0
H12,0,0
